nome,uf,email
JUNJI ABE,SP,dep.junjiabe@camara.leg.br
VITOR PAULO ARAÚJO DOS SANTOS,DF,dep.vitorpaulo@camara.leg.br
JOSÉ DOS SANTOS FREIRE JÚNIOR,TO,dep.freirejunior@camara.leg.br
MARCOS PACCO RIBEIRO COELHO,DF,dep.professorpacco@camara.leg.br
ERONILDO BRAGA BEZERRA,AM,dep.eronbezerra@camara.leg.br
MILNE FREITAS SOUZA,TO,dep.freitasdopt@camara.leg.br
LUIZA ERUNDINA DE SOUSA,SP,dep.luizaerundina@camara.leg.br
BENEDITO ROBERTO ALVES FERREIRA,SP,dep.robertoalves@camara.leg.br
LÁZARO BOTELHO MARTINS,TO,dep.lazarobotelho@camara.leg.br
SÉRGIO LUÍS LACERDA BRITO,BA,dep.sergiobrito@camara.leg.br
ERIVELTON LIMA SANTANA,BA,dep.eriveltonsantana@camara.leg.br
OSMAR JOSÉ SERRAGLIO,PR,dep.osmarserraglio@camara.leg.br
BRUNO CAVALCANTI DE ARAÚJO,PE,dep.brunoaraujo@camara.leg.br
FABIO ABREU COSTA,PI,dep.capitaofabioabreu@camara.leg.br
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,BA,dep.cacaleao@camara.leg.br
DIMAS FABIANO TOLEDO JÚNIOR,MG,dep.dimasfabiano@camara.leg.br
FRANCISCO JOSÉ D'ANGELO PINTO,RJ,dep.chicodangelo@camara.leg.br
HELIO LEITE DA SILVA,PA,dep.helioleite@camara.leg.br
MARIA DO ROSÁRIO NUNES,RS,dep.mariadorosario@camara.leg.br
LUIZ ODORICO MONTEIRO DE ANDRADE,CE,dep.odoricomonteiro@camara.leg.br
ANTONIO CARLOS GOMES DA SILVA,RS,dep.carlosgomes@camara.leg.br
WOLNEY QUEIROZ MACIEL,PE,dep.wolneyqueiroz@camara.leg.br
JOÃO RODRIGUES,SC,dep.joaorodrigues@camara.leg.br
RUBENS PEREIRA E SILVA JUNIOR,MA,dep.rubenspereirajunior@camara.leg.br
JOSÉ RICARDO ALVARENGA TRIPOLI,SP,dep.ricardotripoli@camara.leg.br
JOZIANE ARAÚJO NASCIMENTO,AP,dep.joziaraujo@camara.leg.br
JORGE SILVA,ES,dep.dr.jorgesilva@camara.leg.br
RÔNEY TANIOS NEMER,DF,dep.roneynemer@camara.leg.br
JOSIAS GOMES DA SILVA,BA,dep.josiasgomes@camara.leg.br
DÉCIO NERY DE LIMA,SC,dep.deciolima@camara.leg.br
ADELMO CARNEIRO LEAO,MG,dep.adelmocarneiroleao@camara.leg.br
EDUARDO NANTES BOLSONARO,SP,dep.eduardobolsonaro@camara.leg.br
LUIZ CARLOS JORGE HAULY,PR,dep.luizcarloshauly@camara.leg.br
LUIZ ALBUQUERQUE COUTO,PB,dep.luizcouto@camara.leg.br
MIGUEL CORRÊA DA SILVA JÚNIOR,MG,dep.miguelcorrea@camara.leg.br
AFONSO BANDEIRA FLORENCE,BA,dep.afonsoflorence@camara.leg.br
HUGO LEAL MELO DA SILVA,RJ,dep.hugoleal@camara.leg.br
ARTHUR CÉSAR PEREIRA DE LIRA,AL,dep.arthurlira@camara.leg.br
AELTON JOSÉ DE FREITAS,MG,dep.aeltonfreitas@camara.leg.br
Jarbas de Andrade Vasconcelos,PE,dep.jarbasvasconcelos@camara.leg.br
ANTONIO LAZARO SILVA,BA,dep.irmaolazaro@camara.leg.br
ELCIONE THEREZINHA ZAHLUTH BARBALHO,PA,dep.elcionebarbalho@camara.leg.br
ALAN RICK MIRANDA,AC,dep.alanrick@camara.leg.br
MARCOS BEZERRA RIBEIRO SOARES,RJ,dep.marcossoares@camara.leg.br
ALESSANDRO LUCCIOLA MOLON,RJ,dep.alessandromolon@camara.leg.br
FELIPE CATALÃO MAIA,RN,dep.felipemaia@camara.leg.br
JOÃO MARCELO SANTOS SOUZA,MA,dep.joaomarcelosouza@camara.leg.br
VANDERLEI MACRIS,SP,dep.vanderleimacris@camara.leg.br
REMIDIO MONAI MONTESSI,RR,dep.remidiomonai@camara.leg.br
ANTONIO ROBERTO RODRIGUES GÓES DA SILVA,AP,dep.robertogoes@camara.leg.br
DANILO JORGE DE BARROS CABRAL,PE,dep.danilocabral@camara.leg.br
ALIEL MACHADO BARK,PR,dep.alielmachado@camara.leg.br
FRANCISCO ALVES DE AGUIAR,PA,dep.franciscochapadinha@camara.leg.br
FAUSTO RUY PINATO,SP,dep.faustopinato@camara.leg.br
LEONARDO CARNEIRO MONTEIRO PICCIANI,RJ,dep.leonardopicciani@camara.leg.br
