cep,cnpj,data_abertura,municipio,nome_fantasia,razao_social,situacao,uf
12132854000100,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA,WM PAPELARIA E ESCRITORIO,DF,BRASILIA,70.855-510,24/06/2010,ATIVA
00692418000107,AUTO POSTO CINCO ESTRELAS LTDA,,DF,BRASILIA,70.310-500,03/02/1983,ATIVA
03482208000182,AUTO POSTO JK LTDA,JK COMBUSTIVEIS,DF,BRASILIA,70.277-520,04/11/1999,ATIVA
15369957000187,ABEL MESQUITA GARCIA,AUTO POSTO PREMIUM,RR,BOA VISTA,69.314-142,11/04/2012,ATIVA
03625917000170,B. B. PETROLEO LTDA.,POSTO SAO JOSE,RR,BOA VISTA,69.306-705,04/02/2000,ATIVA
00097626000168,BRASAL COMBUSTIVEIS LTDA,POSTO BRASAL,DF,BRASILIA,71.200-025,11/06/1970,ATIVA
00306597001179,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,CASCAO POSTO 405 SUL,DF,BRASILIA,70.239-000,28/06/1979,ATIVA
00306597006308,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,DF,BRASILIA,70.364-000,03/01/2012,ATIVA
00306597007614,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,DF,BRASILIA,70.800-110,03/01/2012,ATIVA
00306597007290,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,DF,BRASILIA,70.237-000,03/01/2012,ATIVA
00042044000184,POLAR DERIVADOS DE PETROLEO LTDA,POSTO POLAR,DF,BRASILIA,70.300-000,25/02/1969,ATIVA
07441011000156,POSTO CIDADE DO AUTOMOVEL LTDA,RBRC - REDE BRASILIENSE EM REVENDA DE COMBUSTIVEL,DF,BRASILIA,71.300-000,19/05/2005,ATIVA
04473193000159,POSTO DA TORRE EIRELI,POSTO DA TORRE,DF,BRASILIA,70.315-000,31/05/2001,ATIVA
10750039000180,POSTO DISBRAVE IMPERIAL LTDA,POSTO DISBRAVE IMPERIAL,DF,BRASILIA,70.312-000,01/04/2009,ATIVA
02040344000150,POSTO SIA 3 LTDA,POSTO SIA 3,DF,BRASILIA,71.200-030,18/08/1997,ATIVA
84010040004363,PIONEIRO COMBUSTIVEIS LTDA,,RR,BOA VISTA,69.310-006,02/09/2011,ATIVA
20278520000178,AM SERVICOS E REPRESENTACAO EIRELI,AM SERVICOS E REPRESENTACAO,DF,BRASILIA,70.070-010,15/05/2014,ATIVA
84017888000165,FORBRAS RORAIMA LTDA,GRAFICA FORBRAS,RR,BOA VISTA,69.303-445,14/04/1992,ATIVA
24250779000161,LOTTUS CONSULTORIA PESQUISAS E MARKETING EIRELI,LOTTUS COMUNICACOES,DF,BRASILIA,72.220-094,25/02/2016,ATIVA
18742343000197,FABIO PEREIRA DA SILVA,STAT,RR,BOA VISTA,69.316-206,23/08/2013,ATIVA
,,,,,,,
05423963014929,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL,OI,RR,BOA VISTA,69.301-161,13/11/2012,ATIVA
05423963000111,OI MOVEL S.A. - EM RECUPERACAO JUDICIAL,OI,DF,BRASILIA,70.713-900,12/12/2002,ATIVA
04567322000178,INTERLOCAL SERVICOS LTDA,,RR,BOA VISTA,69.301-130,26/07/2001,ATIVA
09296295000160,AZUL LINHAS AEREAS BRASILEIRAS S.A.,,SP,BARUERI,06.460-040,04/01/2008,ATIVA
07575651000159,GOL LINHAS AEREAS S.A.,,RJ,RIO DE JANEIRO,20.021-340,31/08/2005,ATIVA
