ideCadastro,nome, sexo, condicao, comissoesNo
178962,ANTONIO CARLOS GOMES DA SILVA,M,Em Exercício,30
178926,RODRIGO RODRIGUES DE SOUZA MARTINS,M,Em Exercício,44
178924,FABIO ABREU COSTA,M,Em Exercício,6
167722,MARCOS ROGÉRIO DA SILVA BRITO,M,Em Exercício,52
204651,MILNE FREITAS SOUZA,M,Em Exercício,0
178870,RÔNEY TANIOS NEMER,M,Em Exercício,27
93083,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,Em Exercício,33
178848,MARIA DA CONCEICAO SAMPAIO MOURA,F,Em Exercício,44
92346,EDUARDO NANTES BOLSONARO,M,Em Exercício,41
178974,ANDRES NAVARRO SANCHEZ,M,Em Exercício,21
160598,FLÁVIA CARREIRO ALBUQUERQUE MORAIS,F,Em Exercício,37
178869,VITOR PEREIRA VALIM,M,Em Exercício,62
178951,RAFAEL HUETE DA MOTTA,M,Em Exercício,40
178925,REJANE RIBEIRO SOUSA DIAS,F,Em Exercício,6
178851,JOZIANE ARAÚJO NASCIMENTO,F,Em Exercício,28
178989,RENATA HELLMEISTER DE ABREU,F,Em Exercício,42
178923,JOSE CAVALCANTI ALVES JUNIOR,M,Em Exercício,27
204011,MARCOS PACCO RIBEIRO COELHO,M,Em Exercício,2
204760,WASHINGTON STECANELA CERQUEIRA,M,Em Exercício,0
178909,HELIO LEITE DA SILVA,M,Em Exercício,46
72912,CELSO PANSERA,M,Em Exercício,42
99654,ERIVELTON LIMA SANTANA,M,Em Exercício,16
160571,JOÃO RODRIGUES,M,Em Exercício,2
178956,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,F,Em Exercício,27
178973,ANA LUCIA LIPPAUS PERUGINI,F,Em Exercício,29
152610,BENEDITO ROBERTO ALVES FERREIRA,M,Em Exercício,7
178919,MARINALDO ROSENDO DE ALBUQUERQUE,M,Em Exercício,20
171782,ERONILDO BRAGA BEZERRA,M,Suplência,0
178990,SAMUEL MOREIRA DA SILVA JUNIOR,M,Em Exercício,15
74189,JOSÉ DOS SANTOS FREIRE JÚNIOR,M,Suplência,7
178887,RUBENS PEREIRA E SILVA JUNIOR,M,Em Exercício,39
178890,ADELMO CARNEIRO LEAO,M,Em Exercício,57
178868,LUIZ ODORICO MONTEIRO DE ANDRADE,M,Em Exercício,73
160508,AFONSO BANDEIRA FLORENCE,M,Em Exercício,16
73808,SÉRGIO LUÍS LACERDA BRITO,M,Em Exercício,19
