txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
CELSO MALDANER;141405.0;MDB;SC;1;29005.76000000001;M;22.0
CELSO MALDANER;141405.0;MDB;SC;2;42567.500000000015;M;22.0
CELSO MALDANER;141405.0;MDB;SC;3;34449.81;M;22.0
CELSO MALDANER;141405.0;MDB;SC;4;39704.950000000004;M;22.0
CELSO MALDANER;141405.0;MDB;SC;5;37020.93999999999;M;22.0
CELSO MALDANER;141405.0;MDB;SC;6;23725.719999999998;M;22.0
CELSO MALDANER;141405.0;MDB;SC;7;26732.209999999995;M;22.0
CELSO MALDANER;141405.0;MDB;SC;8;26096.629999999994;M;22.0
CELSO MALDANER;141405.0;MDB;SC;9;22296.760000000002;M;22.0
CELSO MALDANER;141405.0;MDB;SC;10;24678.69;M;22.0
CELSO MALDANER;141405.0;MDB;SC;11;36044.259999999995;M;22.0
CELSO MALDANER;141405.0;MDB;SC;12;59744.750000000015;M;22.0
EDINHO BEZ;73793.0;MDB;SC;1;20261.370000000003;M;9.0
EDINHO BEZ;73793.0;MDB;SC;2;54777.03;M;9.0
EDINHO BEZ;73793.0;MDB;SC;3;37422.840000000004;M;9.0
EDINHO BEZ;73793.0;MDB;SC;4;37598.330000000016;M;9.0
EDINHO BEZ;73793.0;MDB;SC;5;59455.73000000002;M;9.0
EDINHO BEZ;73793.0;MDB;SC;6;24778.710000000003;M;9.0
EDINHO BEZ;73793.0;MDB;SC;7;43335.12;M;9.0
EDINHO BEZ;73793.0;MDB;SC;8;34228.47;M;9.0
EDINHO BEZ;73793.0;MDB;SC;9;30125.359999999997;M;9.0
EDINHO BEZ;73793.0;MDB;SC;10;36859.92999999999;M;9.0
EDINHO BEZ;73793.0;MDB;SC;11;41456.509999999995;M;9.0
EDINHO BEZ;73793.0;MDB;SC;12;29121.850000000006;M;9.0
MAURO MARIANI;141507.0;MDB;SC;1;18690.520000000004;M;5.0
MAURO MARIANI;141507.0;MDB;SC;2;25036.48999999999;M;5.0
MAURO MARIANI;141507.0;MDB;SC;3;42641.539999999964;M;5.0
MAURO MARIANI;141507.0;MDB;SC;4;46351.52999999995;M;5.0
MAURO MARIANI;141507.0;MDB;SC;5;12176.439999999999;M;5.0
MAURO MARIANI;141507.0;MDB;SC;6;15768.729999999994;M;5.0
MAURO MARIANI;141507.0;MDB;SC;7;24759.31;M;5.0
MAURO MARIANI;141507.0;MDB;SC;8;18805.98;M;5.0
MAURO MARIANI;141507.0;MDB;SC;9;19730.840000000004;M;5.0
MAURO MARIANI;141507.0;MDB;SC;10;48998.6;M;5.0
MAURO MARIANI;141507.0;MDB;SC;11;51642.63;M;5.0
MAURO MARIANI;141507.0;MDB;SC;12;39811.99999999999;M;5.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;1;15971.490000000002;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;2;47994.350000000035;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;3;32847.98000000001;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;4;35760.37000000001;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;5;25658.609999999993;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;6;21044.66;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;7;19896.770000000004;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;8;16248.499999999996;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;9;24289.309999999998;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;10;27434.690000000002;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;11;36317.92999999999;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;12;54310.60999999995;M;25.0
RONALDO BENEDET;160515.0;MDB;SC;1;54470.930000000015;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;2;29879.22000000001;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;3;39639.990000000034;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;4;59005.46000000001;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;5;24064.829999999998;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;6;24512.449999999993;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;7;25481.289999999997;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;8;18653.280000000002;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;9;11403.260000000002;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;10;21854.84999999999;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;11;48511.93999999997;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;12;49246.000000000015;M;27.0
VALDIR COLATTO;74010.0;MDB;SC;1;26047.119999999995;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;2;33725.45;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;3;43390.48000000002;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;4;1628.5899999999997;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;5;-210.98;M;2.0
