txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
JOSÉ CARLOS VIEIRA;73875.0;PSD;SC;4;25874.179999999997;M;22.0
JOSÉ CARLOS VIEIRA;73875.0;PSD;SC;5;34514.55999999998;M;22.0
JOSÉ CARLOS VIEIRA;73875.0;PSD;SC;6;6163.19;M;22.0
JOSÉ CARLOS VIEIRA;73875.0;PSD;SC;7;41780.59000000002;M;22.0
JOSÉ CARLOS VIEIRA;73875.0;PSD;SC;12;-325.45000000000005;M;22.0
JOÃO RODRIGUES;160571.0;PSD;SC;4;17247.03;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;5;29429.920000000006;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;6;24084.85;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;7;24544.610000000004;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;8;19880.05;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;9;24770.819999999996;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;10;32355.329999999998;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;11;44472.48999999998;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;12;39453.119999999995;M;2.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;1;24446.410000000007;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;2;29220.14999999998;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;3;23326.129999999997;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;4;34420.71000000001;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;5;38148.19000000001;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;6;14757.669999999998;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;7;43336.509999999995;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;8;37316.12;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;9;32840.49;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;10;32734.689999999995;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;11;28878.96999999999;M;43.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;12;25090.520000000008;M;43.0
