txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
CARMEN ZANOTTO;164360.0;PPS;SC;2;17853.29;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;3;23472.80999999999;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;4;14845.3;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;5;25927.150000000005;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;6;18778.67;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;7;15696.660000000002;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;8;29193.17;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;9;22766.719999999998;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;10;31806.930000000015;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;11;39513.500000000015;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;12;75633.66;F;42
