txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
ESPERIDIÃO AMIN;160649.0;PP;SC;1;10505.080000000002;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;2;32365.299999999992;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;3;37812.72999999998;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;4;28232.94999999999;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;5;28668.889999999996;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;6;27723.56000000001;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;7;35327.6;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;8;37046.05000000002;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;9;24254.109999999997;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;10;36550.450000000026;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;11;17976.35;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;12;36860.740000000005;M;41.0
JORGE BOEIRA;74388.0;PP;SC;1;6754.01;M;16.0
JORGE BOEIRA;74388.0;PP;SC;2;28951.769999999997;M;16.0
JORGE BOEIRA;74388.0;PP;SC;3;15892.910000000005;M;16.0
JORGE BOEIRA;74388.0;PP;SC;4;14995.110000000004;M;16.0
JORGE BOEIRA;74388.0;PP;SC;5;12543.220000000003;M;16.0
JORGE BOEIRA;74388.0;PP;SC;6;3477.8799999999987;M;16.0
JORGE BOEIRA;74388.0;PP;SC;7;263.29;M;16.0
JORGE BOEIRA;74388.0;PP;SC;11;22510.67;M;16.0
JORGE BOEIRA;74388.0;PP;SC;12;13937.120000000003;M;16.0
JOÃO PIZZOLATTI;73874.0;PP;SC;1;11517.270000000002;M;17.0
