;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
114687;ESPERIDIÃO AMIN;160649.0;SC;PP;636.6;6
114688;ESPERIDIÃO AMIN;160649.0;SC;PP;221.0;6
114689;ESPERIDIÃO AMIN;160649.0;SC;PP;156.61;1
114690;ESPERIDIÃO AMIN;160649.0;SC;PP;367.13;1
114691;ESPERIDIÃO AMIN;160649.0;SC;PP;170.3;8
114692;ESPERIDIÃO AMIN;160649.0;SC;PP;19.87;8
114693;ESPERIDIÃO AMIN;160649.0;SC;PP;21.11;10
114694;ESPERIDIÃO AMIN;160649.0;SC;PP;163.07;10
114695;ESPERIDIÃO AMIN;160649.0;SC;PP;50.4;7
114696;ESPERIDIÃO AMIN;160649.0;SC;PP;195.52;7
114697;ESPERIDIÃO AMIN;160649.0;SC;PP;267.37;4
114698;ESPERIDIÃO AMIN;160649.0;SC;PP;479.8;4
114699;ESPERIDIÃO AMIN;160649.0;SC;PP;20.51;11
114700;ESPERIDIÃO AMIN;160649.0;SC;PP;139.27;11
114701;ESPERIDIÃO AMIN;160649.0;SC;PP;28.71;9
114702;ESPERIDIÃO AMIN;160649.0;SC;PP;226.22;9
114703;ESPERIDIÃO AMIN;160649.0;SC;PP;28.04;12
114704;ESPERIDIÃO AMIN;160649.0;SC;PP;240.67;12
114705;ESPERIDIÃO AMIN;160649.0;SC;PP;297.18;2
114706;ESPERIDIÃO AMIN;160649.0;SC;PP;482.03;2
114707;ESPERIDIÃO AMIN;160649.0;SC;PP;20.36;5
114708;ESPERIDIÃO AMIN;160649.0;SC;PP;350.68;5
114709;ESPERIDIÃO AMIN;160649.0;SC;PP;20.24;6
114710;ESPERIDIÃO AMIN;160649.0;SC;PP;164.98;6
114711;ESPERIDIÃO AMIN;160649.0;SC;PP;1182.13;1
114712;ESPERIDIÃO AMIN;160649.0;SC;PP;1265.65;1
114713;ESPERIDIÃO AMIN;160649.0;SC;PP;1414.34;2
114714;ESPERIDIÃO AMIN;160649.0;SC;PP;1496.96;2
114715;ESPERIDIÃO AMIN;160649.0;SC;PP;1101.57;4
114716;ESPERIDIÃO AMIN;160649.0;SC;PP;1185.37;4
114717;ESPERIDIÃO AMIN;160649.0;SC;PP;814.43;8
114718;ESPERIDIÃO AMIN;160649.0;SC;PP;899.32;8
114719;ESPERIDIÃO AMIN;160649.0;SC;PP;798.48;9
114720;ESPERIDIÃO AMIN;160649.0;SC;PP;883.45;9
114721;ESPERIDIÃO AMIN;160649.0;SC;PP;1095.27;10
114722;ESPERIDIÃO AMIN;160649.0;SC;PP;1179.08;10
114723;ESPERIDIÃO AMIN;160649.0;SC;PP;907.09;12
114724;ESPERIDIÃO AMIN;160649.0;SC;PP;991.66;12
114725;ESPERIDIÃO AMIN;160649.0;SC;PP;1077.77;3
114726;ESPERIDIÃO AMIN;160649.0;SC;PP;962.85;6
114727;ESPERIDIÃO AMIN;160649.0;SC;PP;1040.33;7
114728;ESPERIDIÃO AMIN;160649.0;SC;PP;879.44;11
114729;ESPERIDIÃO AMIN;160649.0;SC;PP;1161.65;3
114730;ESPERIDIÃO AMIN;160649.0;SC;PP;1289.68;5
114731;ESPERIDIÃO AMIN;160649.0;SC;PP;955.95;7
114732;ESPERIDIÃO AMIN;160649.0;SC;PP;964.08;11
114733;ESPERIDIÃO AMIN;160649.0;SC;PP;1206.27;5
114734;ESPERIDIÃO AMIN;160649.0;SC;PP;1047.17;6
114735;ESPERIDIÃO AMIN;160649.0;SC;PP;356.64;4
114736;ESPERIDIÃO AMIN;160649.0;SC;PP;308.66;8
114737;ESPERIDIÃO AMIN;160649.0;SC;PP;559.55;9
114738;ESPERIDIÃO AMIN;160649.0;SC;PP;172.74;1
114739;ESPERIDIÃO AMIN;160649.0;SC;PP;172.74;5
114740;ESPERIDIÃO AMIN;160649.0;SC;PP;556.11;11
114741;ESPERIDIÃO AMIN;160649.0;SC;PP;219.7;7
114742;ESPERIDIÃO AMIN;160649.0;SC;PP;385.2;6
114743;ESPERIDIÃO AMIN;160649.0;SC;PP;377.06;3
114744;ESPERIDIÃO AMIN;160649.0;SC;PP;403.26;5
114745;ESPERIDIÃO AMIN;160649.0;SC;PP;243.07;8
114746;ESPERIDIÃO AMIN;160649.0;SC;PP;285.2;2
114747;ESPERIDIÃO AMIN;160649.0;SC;PP;311.67;6
114748;ESPERIDIÃO AMIN;160649.0;SC;PP;277.04;7
114749;ESPERIDIÃO AMIN;160649.0;SC;PP;172.74;2
114750;ESPERIDIÃO AMIN;160649.0;SC;PP;172.74;3
114751;ESPERIDIÃO AMIN;160649.0;SC;PP;361.9;4
114752;ESPERIDIÃO AMIN;160649.0;SC;PP;258.4;5
114753;ESPERIDIÃO AMIN;160649.0;SC;PP;2580.2;6
114754;ESPERIDIÃO AMIN;160649.0;SC;PP;1244.6;7
114755;ESPERIDIÃO AMIN;160649.0;SC;PP;72.6;8
114756;ESPERIDIÃO AMIN;160649.0;SC;PP;287.5;9
114757;ESPERIDIÃO AMIN;160649.0;SC;PP;251.5;10
114758;ESPERIDIÃO AMIN;160649.0;SC;PP;333.0;11
114759;ESPERIDIÃO AMIN;160649.0;SC;PP;138.0;1
114760;ESPERIDIÃO AMIN;160649.0;SC;PP;1793.4;2
114761;ESPERIDIÃO AMIN;160649.0;SC;PP;172.7;2
114762;ESPERIDIÃO AMIN;160649.0;SC;PP;216.7;2
114763;ESPERIDIÃO AMIN;160649.0;SC;PP;428.8;2
114764;ESPERIDIÃO AMIN;160649.0;SC;PP;959.99;3
114765;ESPERIDIÃO AMIN;160649.0;SC;PP;2193.0;4
114766;ESPERIDIÃO AMIN;160649.0;SC;PP;564.0;5
114767;ESPERIDIÃO AMIN;160649.0;SC;PP;4047.1;7
114768;ESPERIDIÃO AMIN;160649.0;SC;PP;452.4;8
114769;ESPERIDIÃO AMIN;160649.0;SC;PP;137.4;8
114770;ESPERIDIÃO AMIN;160649.0;SC;PP;2880.0;10
114771;ESPERIDIÃO AMIN;160649.0;SC;PP;596.7;12
114772;ESPERIDIÃO AMIN;160649.0;SC;PP;469.0;12
114773;ESPERIDIÃO AMIN;160649.0;SC;PP;141.1;3
114774;ESPERIDIÃO AMIN;160649.0;SC;PP;141.1;3
114775;ESPERIDIÃO AMIN;160649.0;SC;PP;172.45;3
114776;ESPERIDIÃO AMIN;160649.0;SC;PP;125.98;1
114777;ESPERIDIÃO AMIN;160649.0;SC;PP;325.97;6
114778;ESPERIDIÃO AMIN;160649.0;SC;PP;19.4;10
114779;ESPERIDIÃO AMIN;160649.0;SC;PP;322.62;10
114780;ESPERIDIÃO AMIN;160649.0;SC;PP;347.32;12
114781;ESPERIDIÃO AMIN;160649.0;SC;PP;396.53;1
114782;ESPERIDIÃO AMIN;160649.0;SC;PP;92.7;6
114783;ESPERIDIÃO AMIN;160649.0;SC;PP;1214.68;2
114784;ESPERIDIÃO AMIN;160649.0;SC;PP;1743.15;3
114785;ESPERIDIÃO AMIN;160649.0;SC;PP;115.9;11
114786;ESPERIDIÃO AMIN;160649.0;SC;PP;184.9;11
114787;ESPERIDIÃO AMIN;160649.0;SC;PP;28.5;6
114788;ESPERIDIÃO AMIN;160649.0;SC;PP;149.99;11
114789;ESPERIDIÃO AMIN;160649.0;SC;PP;157.5;5
114790;ESPERIDIÃO AMIN;160649.0;SC;PP;144.07;12
114791;ESPERIDIÃO AMIN;160649.0;SC;PP;180.02;12
114792;ESPERIDIÃO AMIN;160649.0;SC;PP;164.98;1
114793;ESPERIDIÃO AMIN;160649.0;SC;PP;140.07;2
114794;ESPERIDIÃO AMIN;160649.0;SC;PP;80.03;3
