txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
JORGINHO MELLO;160509.0;PR;SC;1;20941.440000000002;M;27
JORGINHO MELLO;160509.0;PR;SC;2;29427.429999999993;M;27
JORGINHO MELLO;160509.0;PR;SC;3;46622.55999999998;M;27
JORGINHO MELLO;160509.0;PR;SC;4;29842.859999999993;M;27
JORGINHO MELLO;160509.0;PR;SC;5;50345.009999999995;M;27
JORGINHO MELLO;160509.0;PR;SC;6;50047.96000000002;M;27
JORGINHO MELLO;160509.0;PR;SC;7;38299.95999999999;M;27
JORGINHO MELLO;160509.0;PR;SC;8;33947.61000000001;M;27
JORGINHO MELLO;160509.0;PR;SC;9;34164.380000000005;M;27
JORGINHO MELLO;160509.0;PR;SC;10;40475.98;M;27
JORGINHO MELLO;160509.0;PR;SC;11;33955.17;M;27
JORGINHO MELLO;160509.0;PR;SC;12;59059.80000000002;M;27
