;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
124851;FABRICIO OLIVEIRA;190149.0;SC;PSB;127.0;8
124852;FABRICIO OLIVEIRA;190149.0;SC;PSB;130.95;9
124853;FABRICIO OLIVEIRA;190149.0;SC;PSB;146.76;9
124854;FABRICIO OLIVEIRA;190149.0;SC;PSB;200.02;9
124855;FABRICIO OLIVEIRA;190149.0;SC;PSB;119.2;9
124856;FABRICIO OLIVEIRA;190149.0;SC;PSB;120.04;9
124857;FABRICIO OLIVEIRA;190149.0;SC;PSB;167.77;10
124858;FABRICIO OLIVEIRA;190149.0;SC;PSB;164.65;10
124859;FABRICIO OLIVEIRA;190149.0;SC;PSB;100.0;9
124860;FABRICIO OLIVEIRA;190149.0;SC;PSB;50.0;10
124861;FABRICIO OLIVEIRA;190149.0;SC;PSB;113.0;9
124862;FABRICIO OLIVEIRA;190149.0;SC;PSB;105.87;9
124863;FABRICIO OLIVEIRA;190149.0;SC;PSB;219.24;10
124864;FABRICIO OLIVEIRA;190149.0;SC;PSB;140.02;9
124865;FABRICIO OLIVEIRA;190149.0;SC;PSB;170.03;9
124866;FABRICIO OLIVEIRA;190149.0;SC;PSB;49.9;9
124867;FABRICIO OLIVEIRA;190149.0;SC;PSB;165.02;8
124868;FABRICIO OLIVEIRA;190149.0;SC;PSB;155.06;7
124869;FABRICIO OLIVEIRA;190149.0;SC;PSB;154.99;8
124870;FABRICIO OLIVEIRA;190149.0;SC;PSB;100.0;8
124871;FABRICIO OLIVEIRA;190149.0;SC;PSB;155.0;9
124872;FABRICIO OLIVEIRA;190149.0;SC;PSB;168.53;8
124873;FABRICIO OLIVEIRA;190149.0;SC;PSB;164.01;10
124874;FABRICIO OLIVEIRA;190149.0;SC;PSB;115.0;8
124875;FABRICIO OLIVEIRA;190149.0;SC;PSB;120.0;8
124876;FABRICIO OLIVEIRA;190149.0;SC;PSB;25.0;8
124877;FABRICIO OLIVEIRA;190149.0;SC;PSB;95.02;8
124878;FABRICIO OLIVEIRA;190149.0;SC;PSB;147.5;9
124879;FABRICIO OLIVEIRA;190149.0;SC;PSB;160.06;8
124880;FABRICIO OLIVEIRA;190149.0;SC;PSB;160.01;9
124881;FABRICIO OLIVEIRA;190149.0;SC;PSB;102.01;8
124882;FABRICIO OLIVEIRA;190149.0;SC;PSB;100.01;8
124883;FABRICIO OLIVEIRA;190149.0;SC;PSB;10.14;8
124884;FABRICIO OLIVEIRA;190149.0;SC;PSB;10.01;8
124885;FABRICIO OLIVEIRA;190149.0;SC;PSB;10.01;8
124886;FABRICIO OLIVEIRA;190149.0;SC;PSB;175.02;8
124887;FABRICIO OLIVEIRA;190149.0;SC;PSB;30.01;8
124888;FABRICIO OLIVEIRA;190149.0;SC;PSB;10.01;8
124889;FABRICIO OLIVEIRA;190149.0;SC;PSB;20.03;8
124890;FABRICIO OLIVEIRA;190149.0;SC;PSB;10.04;8
