txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
GEOVANIA DE SÁ;178966.0;PSDB;SC;2;26746.639999999996;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;3;41657.44000000001;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;4;38337.83000000001;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;5;27821.220000000005;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;6;34309.98;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;7;35493.60000000001;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;8;51561.83999999998;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;9;34414.31;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;10;38415.59000000002;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;11;50513.980000000025;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;12;38634.17000000001;F;45.0
MARCO TEBALDI;160536.0;PSDB;SC;1;41189.28;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;2;64293.77000000001;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;3;50239.43;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;4;29750.949999999993;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;5;42480.84;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;6;19596.85999999999;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;7;35485.71000000001;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;8;37505.490000000005;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;9;58840.970000000016;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;10;40932.030000000006;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;11;38948.360000000015;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;12;24333.78000000001;M;11.0
