txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
DÉCIO LIMA;141413.0;PT;SC;1;12388.230000000005;M;21.0
DÉCIO LIMA;141413.0;PT;SC;2;16455.35;M;21.0
DÉCIO LIMA;141413.0;PT;SC;3;24178.569999999992;M;21.0
DÉCIO LIMA;141413.0;PT;SC;4;22889.82;M;21.0
DÉCIO LIMA;141413.0;PT;SC;5;17773.340000000004;M;21.0
DÉCIO LIMA;141413.0;PT;SC;6;59241.65000000001;M;21.0
DÉCIO LIMA;141413.0;PT;SC;7;47750.22999999999;M;21.0
DÉCIO LIMA;141413.0;PT;SC;8;57475.82000000001;M;21.0
DÉCIO LIMA;141413.0;PT;SC;9;37929.08000000001;M;21.0
DÉCIO LIMA;141413.0;PT;SC;10;57526.210000000014;M;21.0
DÉCIO LIMA;141413.0;PT;SC;11;47214.22000000001;M;21.0
DÉCIO LIMA;141413.0;PT;SC;12;59834.06000000002;M;21.0
LUCI CHOINACKI;73474.0;PT;SC;1;35369.58;F;18.0
PEDRO UCZAI;160604.0;PT;SC;1;14705.0;M;23.0
PEDRO UCZAI;160604.0;PT;SC;2;19800.199999999993;M;23.0
PEDRO UCZAI;160604.0;PT;SC;3;36169.29999999999;M;23.0
PEDRO UCZAI;160604.0;PT;SC;4;32268.09999999999;M;23.0
PEDRO UCZAI;160604.0;PT;SC;5;41498.66;M;23.0
PEDRO UCZAI;160604.0;PT;SC;6;50299.159999999996;M;23.0
PEDRO UCZAI;160604.0;PT;SC;7;36578.979999999996;M;23.0
PEDRO UCZAI;160604.0;PT;SC;8;51797.05;M;23.0
PEDRO UCZAI;160604.0;PT;SC;9;33289.51;M;23.0
PEDRO UCZAI;160604.0;PT;SC;10;34289.78000000002;M;23.0
PEDRO UCZAI;160604.0;PT;SC;11;39808.35000000001;M;23.0
PEDRO UCZAI;160604.0;PT;SC;12;41699.07000000001;M;23.0
