;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
25039;ANGELA ALBINO;192120.0;SC;PCdoB;300.0;5
25040;ANGELA ALBINO;192120.0;SC;PCdoB;550.0;1
25041;ANGELA ALBINO;192120.0;SC;PCdoB;550.0;2
25042;ANGELA ALBINO;192120.0;SC;PCdoB;550.0;3
25043;ANGELA ALBINO;192120.0;SC;PCdoB;550.0;5
25044;ANGELA ALBINO;192120.0;SC;PCdoB;550.0;6
25045;ANGELA ALBINO;192120.0;SC;PCdoB;2578.86;1
25046;ANGELA ALBINO;192120.0;SC;PCdoB;2758.47;2
25047;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;3
25048;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;5
25049;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;6
25050;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;7
25051;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;8
25052;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;12
25053;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;10
25054;ANGELA ALBINO;192120.0;SC;PCdoB;2701.75;11
25055;ANGELA ALBINO;192120.0;SC;PCdoB;134.46;2
25056;ANGELA ALBINO;192120.0;SC;PCdoB;177.63;6
25057;ANGELA ALBINO;192120.0;SC;PCdoB;182.63;8
25058;ANGELA ALBINO;192120.0;SC;PCdoB;292.56;3
25059;ANGELA ALBINO;192120.0;SC;PCdoB;128.71;9
25060;ANGELA ALBINO;192120.0;SC;PCdoB;343.85;4
25061;ANGELA ALBINO;192120.0;SC;PCdoB;220.76;11
25062;ANGELA ALBINO;192120.0;SC;PCdoB;271.61;5
25063;ANGELA ALBINO;192120.0;SC;PCdoB;259.54;10
25064;ANGELA ALBINO;192120.0;SC;PCdoB;205.75;7
25065;ANGELA ALBINO;192120.0;SC;PCdoB;229.33;12
25066;ANGELA ALBINO;192120.0;SC;PCdoB;11.59;1
25067;ANGELA ALBINO;192120.0;SC;PCdoB;524.23;7
25068;ANGELA ALBINO;192120.0;SC;PCdoB;285.39;4
25069;ANGELA ALBINO;192120.0;SC;PCdoB;374.66;11
25070;ANGELA ALBINO;192120.0;SC;PCdoB;346.58;11
25071;ANGELA ALBINO;192120.0;SC;PCdoB;278.22;2
25072;ANGELA ALBINO;192120.0;SC;PCdoB;478.98;3
25073;ANGELA ALBINO;192120.0;SC;PCdoB;1190.87;11
25074;ANGELA ALBINO;192120.0;SC;PCdoB;1190.87;12
25075;ANGELA ALBINO;192120.0;SC;PCdoB;1190.87;10
25076;ANGELA ALBINO;192120.0;SC;PCdoB;1189.88;3
25077;ANGELA ALBINO;192120.0;SC;PCdoB;1189.88;2
25078;ANGELA ALBINO;192120.0;SC;PCdoB;1248.95;5
25079;ANGELA ALBINO;192120.0;SC;PCdoB;1248.95;6
25080;ANGELA ALBINO;192120.0;SC;PCdoB;1248.95;7
25081;ANGELA ALBINO;192120.0;SC;PCdoB;669.46;8
25082;ANGELA ALBINO;192120.0;SC;PCdoB;689.3;1
25083;ANGELA ALBINO;192120.0;SC;PCdoB;30.0;1
25084;ANGELA ALBINO;192120.0;SC;PCdoB;2450.0;1
25085;ANGELA ALBINO;192120.0;SC;PCdoB;491.5;2
25086;ANGELA ALBINO;192120.0;SC;PCdoB;77.9;4
25087;ANGELA ALBINO;192120.0;SC;PCdoB;88.0;7
25088;ANGELA ALBINO;192120.0;SC;PCdoB;395.0;11
25089;ANGELA ALBINO;192120.0;SC;PCdoB;88.0;12
25090;ANGELA ALBINO;192120.0;SC;PCdoB;190.03;7
25091;ANGELA ALBINO;192120.0;SC;PCdoB;70.5;5
25092;ANGELA ALBINO;192120.0;SC;PCdoB;318.3;10
25093;ANGELA ALBINO;192120.0;SC;PCdoB;70.1;8
25094;ANGELA ALBINO;192120.0;SC;PCdoB;110.2;12
25095;ANGELA ALBINO;192120.0;SC;PCdoB;122.7;11
25096;ANGELA ALBINO;192120.0;SC;PCdoB;154.19;11
25097;ANGELA ALBINO;192120.0;SC;PCdoB;4500.0;3
25098;ANGELA ALBINO;192120.0;SC;PCdoB;2250.0;5
25099;ANGELA ALBINO;192120.0;SC;PCdoB;4500.0;6
25100;ANGELA ALBINO;192120.0;SC;PCdoB;4500.0;7
25101;ANGELA ALBINO;192120.0;SC;PCdoB;2250.0;8
25102;ANGELA ALBINO;192120.0;SC;PCdoB;5320.0;10
25103;ANGELA ALBINO;192120.0;SC;PCdoB;5320.0;11
25104;ANGELA ALBINO;192120.0;SC;PCdoB;5320.0;12
25105;ANGELA ALBINO;192120.0;SC;PCdoB;5320.0;12
25106;ANGELA ALBINO;192120.0;SC;PCdoB;5320.0;12
25107;ANGELA ALBINO;192120.0;SC;PCdoB;2250.0;1
25108;ANGELA ALBINO;192120.0;SC;PCdoB;4500.0;2
25109;ANGELA ALBINO;192120.0;SC;PCdoB;368.19;8
25110;ANGELA ALBINO;192120.0;SC;PCdoB;19.8;8
25111;ANGELA ALBINO;192120.0;SC;PCdoB;63.59;11
25112;ANGELA ALBINO;192120.0;SC;PCdoB;334.6;7
25113;ANGELA ALBINO;192120.0;SC;PCdoB;325.0;5
25114;ANGELA ALBINO;192120.0;SC;PCdoB;129.0;5
25115;ANGELA ALBINO;192120.0;SC;PCdoB;62.5;3
25116;ANGELA ALBINO;192120.0;SC;PCdoB;199.41;2
25117;ANGELA ALBINO;192120.0;SC;PCdoB;100.0;3
25118;ANGELA ALBINO;192120.0;SC;PCdoB;201.96;3
25119;ANGELA ALBINO;192120.0;SC;PCdoB;179.21;9
25120;ANGELA ALBINO;192120.0;SC;PCdoB;172.41;10
25121;ANGELA ALBINO;192120.0;SC;PCdoB;50.0;12
25122;ANGELA ALBINO;192120.0;SC;PCdoB;181.0;6
25123;ANGELA ALBINO;192120.0;SC;PCdoB;175.55;8
25124;ANGELA ALBINO;192120.0;SC;PCdoB;172.39;1
25125;ANGELA ALBINO;192120.0;SC;PCdoB;166.03;5
25126;ANGELA ALBINO;192120.0;SC;PCdoB;161.96;6
25127;ANGELA ALBINO;192120.0;SC;PCdoB;174.72;2
25128;ANGELA ALBINO;192120.0;SC;PCdoB;184.77;5
25129;ANGELA ALBINO;192120.0;SC;PCdoB;176.96;6
25130;ANGELA ALBINO;192120.0;SC;PCdoB;180.0;1
25131;ANGELA ALBINO;192120.0;SC;PCdoB;184.02;2
25132;ANGELA ALBINO;192120.0;SC;PCdoB;180.16;6
25133;ANGELA ALBINO;192120.0;SC;PCdoB;194.7;7
25134;ANGELA ALBINO;192120.0;SC;PCdoB;150.0;1
25135;ANGELA ALBINO;192120.0;SC;PCdoB;110.0;6
25136;ANGELA ALBINO;192120.0;SC;PCdoB;127.12;5
25137;ANGELA ALBINO;192120.0;SC;PCdoB;132.03;5
25138;ANGELA ALBINO;192120.0;SC;PCdoB;131.15;6
25139;ANGELA ALBINO;192120.0;SC;PCdoB;128.45;6
25140;ANGELA ALBINO;192120.0;SC;PCdoB;126.1;7
25141;ANGELA ALBINO;192120.0;SC;PCdoB;134.77;7
25142;ANGELA ALBINO;192120.0;SC;PCdoB;100.0;8
25143;ANGELA ALBINO;192120.0;SC;PCdoB;170.02;11
25144;ANGELA ALBINO;192120.0;SC;PCdoB;170.02;7
25145;ANGELA ALBINO;192120.0;SC;PCdoB;156.56;8
25146;ANGELA ALBINO;192120.0;SC;PCdoB;137.31;11
25147;ANGELA ALBINO;192120.0;SC;PCdoB;90.02;2
25148;ANGELA ALBINO;192120.0;SC;PCdoB;176.18;2
25149;ANGELA ALBINO;192120.0;SC;PCdoB;176.69;8
25150;ANGELA ALBINO;192120.0;SC;PCdoB;185.57;5
25151;ANGELA ALBINO;192120.0;SC;PCdoB;100.0;5
25152;ANGELA ALBINO;192120.0;SC;PCdoB;100.0;12
25153;ANGELA ALBINO;192120.0;SC;PCdoB;177.55;6
25154;ANGELA ALBINO;192120.0;SC;PCdoB;150.0;6
25155;ANGELA ALBINO;192120.0;SC;PCdoB;180.03;12
25156;ANGELA ALBINO;192120.0;SC;PCdoB;100.0;12
25157;ANGELA ALBINO;192120.0;SC;PCdoB;180.02;8
25158;ANGELA ALBINO;192120.0;SC;PCdoB;180.56;10
25159;ANGELA ALBINO;192120.0;SC;PCdoB;184.02;11
25160;ANGELA ALBINO;192120.0;SC;PCdoB;160.0;3
25161;ANGELA ALBINO;192120.0;SC;PCdoB;169.39;6
25162;ANGELA ALBINO;192120.0;SC;PCdoB;99.15;6
25163;ANGELA ALBINO;192120.0;SC;PCdoB;121.98;5
25164;ANGELA ALBINO;192120.0;SC;PCdoB;185.18;12
25165;ANGELA ALBINO;192120.0;SC;PCdoB;133.92;11
25166;ANGELA ALBINO;192120.0;SC;PCdoB;100.0;5
25167;ANGELA ALBINO;192120.0;SC;PCdoB;159.85;11
25168;ANGELA ALBINO;192120.0;SC;PCdoB;187.43;7
25169;ANGELA ALBINO;192120.0;SC;PCdoB;180.65;11
25170;ANGELA ALBINO;192120.0;SC;PCdoB;50.0;12
25171;ANGELA ALBINO;192120.0;SC;PCdoB;150.0;1
25172;ANGELA ALBINO;192120.0;SC;PCdoB;101.8;12
25173;ANGELA ALBINO;192120.0;SC;PCdoB;50.0;11
25174;ANGELA ALBINO;192120.0;SC;PCdoB;79.33;11
25175;ANGELA ALBINO;192120.0;SC;PCdoB;150.0;5
25176;ANGELA ALBINO;192120.0;SC;PCdoB;100.0;5
25177;ANGELA ALBINO;192120.0;SC;PCdoB;177.62;6
25178;ANGELA ALBINO;192120.0;SC;PCdoB;175.24;3
25179;ANGELA ALBINO;192120.0;SC;PCdoB;195.31;3
25180;ANGELA ALBINO;192120.0;SC;PCdoB;167.44;5
25181;ANGELA ALBINO;192120.0;SC;PCdoB;50.0;1
25182;ANGELA ALBINO;192120.0;SC;PCdoB;190.0;1
25183;ANGELA ALBINO;192120.0;SC;PCdoB;181.01;3
25184;ANGELA ALBINO;192120.0;SC;PCdoB;181.57;2
25185;ANGELA ALBINO;192120.0;SC;PCdoB;186.97;3
25186;ANGELA ALBINO;192120.0;SC;PCdoB;173.9;7
25187;ANGELA ALBINO;192120.0;SC;PCdoB;175.64;12
25188;ANGELA ALBINO;192120.0;SC;PCdoB;6950.0;3
25189;ANGELA ALBINO;192120.0;SC;PCdoB;3475.0;5
25190;ANGELA ALBINO;192120.0;SC;PCdoB;6950.0;6
25191;ANGELA ALBINO;192120.0;SC;PCdoB;6950.0;7
25192;ANGELA ALBINO;192120.0;SC;PCdoB;3475.0;8
25193;ANGELA ALBINO;192120.0;SC;PCdoB;3475.0;8
25194;ANGELA ALBINO;192120.0;SC;PCdoB;6950.0;9
25195;ANGELA ALBINO;192120.0;SC;PCdoB;6950.0;10
25196;ANGELA ALBINO;192120.0;SC;PCdoB;6950.0;11
25197;ANGELA ALBINO;192120.0;SC;PCdoB;8805.0;11
25198;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;2
25199;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;3
25200;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;7
25201;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;8
25202;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;9
25203;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;10
25204;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;11
25205;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;12
25206;ANGELA ALBINO;192120.0;SC;PCdoB;7900.0;6
25207;ANGELA ALBINO;192120.0;SC;PCdoB;16000.0;12
25208;ANGELA ALBINO;192120.0;SC;PCdoB;300.0;1
25209;ANGELA ALBINO;192120.0;SC;PCdoB;300.0;2
25210;ANGELA ALBINO;192120.0;SC;PCdoB;300.0;3
25211;ANGELA ALBINO;192120.0;SC;PCdoB;300.0;10
25212;ANGELA ALBINO;192120.0;SC;PCdoB;300.0;11
25213;ANGELA ALBINO;192120.0;SC;PCdoB;300.0;12
25214;ANGELA ALBINO;192120.0;SC;PCdoB;2904.0;1
25215;ANGELA ALBINO;192120.0;SC;PCdoB;2904.0;2
25216;ANGELA ALBINO;192120.0;SC;PCdoB;2900.0;3
25217;ANGELA ALBINO;192120.0;SC;PCdoB;2900.0;5
25218;ANGELA ALBINO;192120.0;SC;PCdoB;234.0;3
25219;ANGELA ALBINO;192120.0;SC;PCdoB;120.0;11
25220;ANGELA ALBINO;192120.0;SC;PCdoB;87.4;11
25221;ANGELA ALBINO;192120.0;SC;PCdoB;80.0;11
25222;ANGELA ALBINO;192120.0;SC;PCdoB;200.0;3
25223;ANGELA ALBINO;192120.0;SC;PCdoB;8805.0;11
25224;ANGELA ALBINO;192120.0;SC;PCdoB;8805.0;12
25225;ANGELA ALBINO;192120.0;SC;PCdoB;45.0;3
25226;ANGELA ALBINO;192120.0;SC;PCdoB;120.0;3
25227;ANGELA ALBINO;192120.0;SC;PCdoB;1141.58;5
25228;ANGELA ALBINO;192120.0;SC;PCdoB;649.79;11
25229;ANGELA ALBINO;192120.0;SC;PCdoB;566.79;10
25230;ANGELA ALBINO;192120.0;SC;PCdoB;1410.37;6
25231;ANGELA ALBINO;192120.0;SC;PCdoB;1176.76;10
25232;ANGELA ALBINO;192120.0;SC;PCdoB;240.96;1
25233;ANGELA ALBINO;192120.0;SC;PCdoB;241.48;2
25234;ANGELA ALBINO;192120.0;SC;PCdoB;147.29;1
25235;ANGELA ALBINO;192120.0;SC;PCdoB;350.72;2
25236;ANGELA ALBINO;192120.0;SC;PCdoB;261.39;3
25237;ANGELA ALBINO;192120.0;SC;PCdoB;0.21;1
25238;ANGELA ALBINO;192120.0;SC;PCdoB;342.86;3
25239;ANGELA ALBINO;192120.0;SC;PCdoB;254.66;4
25240;ANGELA ALBINO;192120.0;SC;PCdoB;25.11;4
25241;ANGELA ALBINO;192120.0;SC;PCdoB;381.55;5
25242;ANGELA ALBINO;192120.0;SC;PCdoB;1.2;6
25243;ANGELA ALBINO;192120.0;SC;PCdoB;525.85;6
25244;ANGELA ALBINO;192120.0;SC;PCdoB;6.25;5
25245;ANGELA ALBINO;192120.0;SC;PCdoB;2.04;7
25246;ANGELA ALBINO;192120.0;SC;PCdoB;596.09;8
25247;ANGELA ALBINO;192120.0;SC;PCdoB;27.17;7
25248;ANGELA ALBINO;192120.0;SC;PCdoB;492.54;9
25249;ANGELA ALBINO;192120.0;SC;PCdoB;577.18;10
25250;ANGELA ALBINO;192120.0;SC;PCdoB;0.73;11
25251;ANGELA ALBINO;192120.0;SC;PCdoB;0.2;9
25252;ANGELA ALBINO;192120.0;SC;PCdoB;524.88;7
25253;ANGELA ALBINO;192120.0;SC;PCdoB;13.28;5
25254;ANGELA ALBINO;192120.0;SC;PCdoB;660.8;11
25255;ANGELA ALBINO;192120.0;SC;PCdoB;0.4;12
25256;ANGELA ALBINO;192120.0;SC;PCdoB;706.78;12
25257;ANGELA ALBINO;192120.0;SC;PCdoB;231.51;3
25258;ANGELA ALBINO;192120.0;SC;PCdoB;167.77;8
25259;ANGELA ALBINO;192120.0;SC;PCdoB;120.26;2
25260;ANGELA ALBINO;192120.0;SC;PCdoB;116.57;5
25261;ANGELA ALBINO;192120.0;SC;PCdoB;113.88;11
25262;ANGELA ALBINO;192120.0;SC;PCdoB;104.99;6
25263;ANGELA ALBINO;192120.0;SC;PCdoB;99.56;12
25264;ANGELA ALBINO;192120.0;SC;PCdoB;92.61;10
25265;ANGELA ALBINO;192120.0;SC;PCdoB;62.56;7
25266;ANGELA ALBINO;192120.0;SC;PCdoB;41.75;9
25267;ANGELA ALBINO;192120.0;SC;PCdoB;37.97;1
25268;ANGELA ALBINO;192120.0;SC;PCdoB;17.85;4
25269;ANGELA ALBINO;192120.0;SC;PCdoB;3747.2;1
25270;ANGELA ALBINO;192120.0;SC;PCdoB;630.0;2
