;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
60044;CARMEN ZANOTTO;164360.0;SC;PPS;50.0;9
60045;CARMEN ZANOTTO;164360.0;SC;PPS;58.0;12
60046;CARMEN ZANOTTO;164360.0;SC;PPS;605.62;6
60047;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;3
60048;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;4
60049;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;6
60050;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;7
60051;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;9
60052;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;10
60053;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;11
60054;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;12
60055;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;5
60056;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;8
60057;CARMEN ZANOTTO;164360.0;SC;PPS;1277.0;1
60058;CARMEN ZANOTTO;164360.0;SC;PPS;1362.0;2
60059;CARMEN ZANOTTO;164360.0;SC;PPS;175.27;11
60060;CARMEN ZANOTTO;164360.0;SC;PPS;181.8;12
60061;CARMEN ZANOTTO;164360.0;SC;PPS;149.04;4
60062;CARMEN ZANOTTO;164360.0;SC;PPS;315.29;9
60063;CARMEN ZANOTTO;164360.0;SC;PPS;358.72;8
60064;CARMEN ZANOTTO;164360.0;SC;PPS;126.92;10
60065;CARMEN ZANOTTO;164360.0;SC;PPS;103.74;1
60066;CARMEN ZANOTTO;164360.0;SC;PPS;285.54;2
60067;CARMEN ZANOTTO;164360.0;SC;PPS;382.27;7
60068;CARMEN ZANOTTO;164360.0;SC;PPS;167.97;5
60069;CARMEN ZANOTTO;164360.0;SC;PPS;31.25;3
60070;CARMEN ZANOTTO;164360.0;SC;PPS;273.04;6
60071;CARMEN ZANOTTO;164360.0;SC;PPS;320.0;7
60072;CARMEN ZANOTTO;164360.0;SC;PPS;201.5;9
60073;CARMEN ZANOTTO;164360.0;SC;PPS;133.4;2
60074;CARMEN ZANOTTO;164360.0;SC;PPS;258.45;4
60075;CARMEN ZANOTTO;164360.0;SC;PPS;287.1;12
60076;CARMEN ZANOTTO;164360.0;SC;PPS;28.0;12
60077;CARMEN ZANOTTO;164360.0;SC;PPS;970.0;12
