;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
70315;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;2470.0;1
70316;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;2470.0;2
70317;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;2470.0;3
70318;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;2470.0;4
70319;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;2470.0;5
70320;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;2470.0;6
70321;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;139.04;6
70322;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;20.92;6
70323;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;179.1;1
70324;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;260.79;3
70325;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;19.78;3
70326;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;41.17;2
70327;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;22.32;7
70328;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;87.29;7
70329;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;262.3;4
70330;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;20.67;4
70331;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;286.33;5
70332;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;31.08;5
70333;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;250.0;1
70334;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;250.0;2
70335;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;250.0;3
70336;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;250.0;4
70337;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;250.0;5
70338;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;250.0;6
70339;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;250.0;7
70340;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;451.2;3
70341;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;435.92;4
70342;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;437.3;6
70343;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;469.74;5
70344;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;434.38;1
70345;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;453.08;2
70346;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;360.09;5
70347;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;208.88;3
70348;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;360.4;6
70349;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;218.12;5
70350;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;218.24;6
70351;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;206.7;2
70352;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;334.42;2
70353;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;339.33;3
70354;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;332.51;1
70355;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;205.42;1
70356;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;348.54;4
70357;JOÃO PAULO KLEINÜBING;178967.0;SC;DEM;212.98;4
