;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
27428;CELSO MALDANER;141405.0;SC;MDB;400.0;2
27429;CELSO MALDANER;141405.0;SC;MDB;400.0;3
27430;CELSO MALDANER;141405.0;SC;MDB;400.0;6
27431;CELSO MALDANER;141405.0;SC;MDB;89.12;2
27432;CELSO MALDANER;141405.0;SC;MDB;127.79;6
27433;CELSO MALDANER;141405.0;SC;MDB;121.14;5
27434;CELSO MALDANER;141405.0;SC;MDB;105.93;1
27435;CELSO MALDANER;141405.0;SC;MDB;133.89;4
27436;CELSO MALDANER;141405.0;SC;MDB;81.4;1
27437;CELSO MALDANER;141405.0;SC;MDB;483.32;1
27438;CELSO MALDANER;141405.0;SC;MDB;483.32;4
27439;CELSO MALDANER;141405.0;SC;MDB;483.32;6
27440;CELSO MALDANER;141405.0;SC;MDB;461.67;2
27441;CELSO MALDANER;141405.0;SC;MDB;483.32;3
27442;CELSO MALDANER;141405.0;SC;MDB;483.32;5
27443;CELSO MALDANER;141405.0;SC;MDB;450.0;2
27444;CELSO MALDANER;141405.0;SC;MDB;345.5;7
27445;CELSO MALDANER;141405.0;SC;MDB;250.0;1
27446;CELSO MALDANER;141405.0;SC;MDB;250.0;1
27447;CELSO MALDANER;141405.0;SC;MDB;250.0;2
27448;CELSO MALDANER;141405.0;SC;MDB;250.0;3
27449;CELSO MALDANER;141405.0;SC;MDB;90.0;1
27450;CELSO MALDANER;141405.0;SC;MDB;90.0;2
27451;CELSO MALDANER;141405.0;SC;MDB;90.0;3
27452;CELSO MALDANER;141405.0;SC;MDB;90.0;4
27453;CELSO MALDANER;141405.0;SC;MDB;90.0;5
27454;CELSO MALDANER;141405.0;SC;MDB;90.0;6
27455;CELSO MALDANER;141405.0;SC;MDB;335.0;7
27456;CELSO MALDANER;141405.0;SC;MDB;90.0;8
27457;CELSO MALDANER;141405.0;SC;MDB;178.0;5
27458;CELSO MALDANER;141405.0;SC;MDB;220.55;3
27459;CELSO MALDANER;141405.0;SC;MDB;79.85;4
27460;CELSO MALDANER;141405.0;SC;MDB;453.5;5
27461;CELSO MALDANER;141405.0;SC;MDB;334.45;7
27462;CELSO MALDANER;141405.0;SC;MDB;87.3;7
27463;CELSO MALDANER;141405.0;SC;MDB;105.76;4
27464;CELSO MALDANER;141405.0;SC;MDB;1452.29;1
27465;CELSO MALDANER;141405.0;SC;MDB;1453.26;2
27466;CELSO MALDANER;141405.0;SC;MDB;1494.24;3
27467;CELSO MALDANER;141405.0;SC;MDB;1476.6;4
27468;CELSO MALDANER;141405.0;SC;MDB;1476.6;5
27469;CELSO MALDANER;141405.0;SC;MDB;1476.6;6
27470;CELSO MALDANER;141405.0;SC;MDB;1476.6;6
27471;CELSO MALDANER;141405.0;SC;MDB;1476.6;7
27472;CELSO MALDANER;141405.0;SC;MDB;339.4;5
27473;CELSO MALDANER;141405.0;SC;MDB;248.0;5
27474;CELSO MALDANER;141405.0;SC;MDB;247.99;5
27475;CELSO MALDANER;141405.0;SC;MDB;219.24;1
27476;CELSO MALDANER;141405.0;SC;MDB;218.4;6
27477;CELSO MALDANER;141405.0;SC;MDB;244.25;4
27478;CELSO MALDANER;141405.0;SC;MDB;100.0;4
27479;CELSO MALDANER;141405.0;SC;MDB;100.0;4
27480;CELSO MALDANER;141405.0;SC;MDB;144.59;5
27481;CELSO MALDANER;141405.0;SC;MDB;190.74;6
27482;CELSO MALDANER;141405.0;SC;MDB;254.2;1
27483;CELSO MALDANER;141405.0;SC;MDB;142.5;1
27484;CELSO MALDANER;141405.0;SC;MDB;258.87;5
27485;CELSO MALDANER;141405.0;SC;MDB;229.49;3
27486;CELSO MALDANER;141405.0;SC;MDB;277.19;5
27487;CELSO MALDANER;141405.0;SC;MDB;170.22;2
27488;CELSO MALDANER;141405.0;SC;MDB;197.59;4
27489;CELSO MALDANER;141405.0;SC;MDB;197.59;4
27490;CELSO MALDANER;141405.0;SC;MDB;203.04;3
27491;CELSO MALDANER;141405.0;SC;MDB;217.25;3
27492;CELSO MALDANER;141405.0;SC;MDB;100.0;3
27493;CELSO MALDANER;141405.0;SC;MDB;100.0;4
27494;CELSO MALDANER;141405.0;SC;MDB;100.0;5
27495;CELSO MALDANER;141405.0;SC;MDB;221.01;5
27496;CELSO MALDANER;141405.0;SC;MDB;150.01;5
27497;CELSO MALDANER;141405.0;SC;MDB;100.0;3
27498;CELSO MALDANER;141405.0;SC;MDB;100.0;3
27499;CELSO MALDANER;141405.0;SC;MDB;200.02;4
27500;CELSO MALDANER;141405.0;SC;MDB;100.0;6
27501;CELSO MALDANER;141405.0;SC;MDB;100.0;7
27502;CELSO MALDANER;141405.0;SC;MDB;100.0;6
27503;CELSO MALDANER;141405.0;SC;MDB;100.0;3
27504;CELSO MALDANER;141405.0;SC;MDB;100.0;6
27505;CELSO MALDANER;141405.0;SC;MDB;100.0;6
27506;CELSO MALDANER;141405.0;SC;MDB;100.0;7
27507;CELSO MALDANER;141405.0;SC;MDB;50.0;5
27508;CELSO MALDANER;141405.0;SC;MDB;90.0;6
27509;CELSO MALDANER;141405.0;SC;MDB;40.0;1
27510;CELSO MALDANER;141405.0;SC;MDB;100.0;2
27511;CELSO MALDANER;141405.0;SC;MDB;100.0;2
27512;CELSO MALDANER;141405.0;SC;MDB;50.0;2
27513;CELSO MALDANER;141405.0;SC;MDB;50.0;2
27514;CELSO MALDANER;141405.0;SC;MDB;100.0;2
27515;CELSO MALDANER;141405.0;SC;MDB;150.0;2
27516;CELSO MALDANER;141405.0;SC;MDB;100.0;2
27517;CELSO MALDANER;141405.0;SC;MDB;100.0;2
