;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
74705;JORGINHO MELLO;160509.0;SC;PR;350.0;3
74706;JORGINHO MELLO;160509.0;SC;PR;340.4;6
74707;JORGINHO MELLO;160509.0;SC;PR;225.0;2
74708;JORGINHO MELLO;160509.0;SC;PR;124.54;2
74709;JORGINHO MELLO;160509.0;SC;PR;124.54;4
74710;JORGINHO MELLO;160509.0;SC;PR;127.03;3
74711;JORGINHO MELLO;160509.0;SC;PR;124.54;1
74712;JORGINHO MELLO;160509.0;SC;PR;1469.95;2
74713;JORGINHO MELLO;160509.0;SC;PR;1469.95;3
74714;JORGINHO MELLO;160509.0;SC;PR;1469.95;4
74715;JORGINHO MELLO;160509.0;SC;PR;1469.95;5
74716;JORGINHO MELLO;160509.0;SC;PR;758.57;6
74717;JORGINHO MELLO;160509.0;SC;PR;758.57;2
74718;JORGINHO MELLO;160509.0;SC;PR;758.57;7
74719;JORGINHO MELLO;160509.0;SC;PR;758.57;4
74720;JORGINHO MELLO;160509.0;SC;PR;758.65;2
74721;JORGINHO MELLO;160509.0;SC;PR;3934.19;3
74722;JORGINHO MELLO;160509.0;SC;PR;3934.19;2
74723;JORGINHO MELLO;160509.0;SC;PR;3934.19;4
74724;JORGINHO MELLO;160509.0;SC;PR;3934.19;6
74725;JORGINHO MELLO;160509.0;SC;PR;3934.19;1
74726;JORGINHO MELLO;160509.0;SC;PR;3934.19;5
74727;JORGINHO MELLO;160509.0;SC;PR;3934.19;1
74728;JORGINHO MELLO;160509.0;SC;PR;1469.95;2
74729;JORGINHO MELLO;160509.0;SC;PR;1469.95;1
74730;JORGINHO MELLO;160509.0;SC;PR;3330.31;2
74731;JORGINHO MELLO;160509.0;SC;PR;3330.31;3
74732;JORGINHO MELLO;160509.0;SC;PR;3330.31;4
74733;JORGINHO MELLO;160509.0;SC;PR;3330.31;5
74734;JORGINHO MELLO;160509.0;SC;PR;3330.31;6
74735;JORGINHO MELLO;160509.0;SC;PR;3330.31;1
74736;JORGINHO MELLO;160509.0;SC;PR;519.12;1
74737;JORGINHO MELLO;160509.0;SC;PR;519.12;4
74738;JORGINHO MELLO;160509.0;SC;PR;447.5;2
74739;JORGINHO MELLO;160509.0;SC;PR;371.1;7
74740;JORGINHO MELLO;160509.0;SC;PR;384.3;4
74741;JORGINHO MELLO;160509.0;SC;PR;256.5;5
74742;JORGINHO MELLO;160509.0;SC;PR;259.69;5
74743;JORGINHO MELLO;160509.0;SC;PR;229.22;4
74744;JORGINHO MELLO;160509.0;SC;PR;164.44;2
74745;JORGINHO MELLO;160509.0;SC;PR;248.08;3
74746;JORGINHO MELLO;160509.0;SC;PR;215.01;4
74747;JORGINHO MELLO;160509.0;SC;PR;225.01;5
74748;JORGINHO MELLO;160509.0;SC;PR;166.02;5
74749;JORGINHO MELLO;160509.0;SC;PR;125.01;6
74750;JORGINHO MELLO;160509.0;SC;PR;253.44;5
74751;JORGINHO MELLO;160509.0;SC;PR;213.43;3
74752;JORGINHO MELLO;160509.0;SC;PR;235.61;2
74753;JORGINHO MELLO;160509.0;SC;PR;100.02;6
74754;JORGINHO MELLO;160509.0;SC;PR;203.01;7
74755;JORGINHO MELLO;160509.0;SC;PR;260.0;4
74756;JORGINHO MELLO;160509.0;SC;PR;227.97;5
74757;JORGINHO MELLO;160509.0;SC;PR;154.2;2
74758;JORGINHO MELLO;160509.0;SC;PR;250.01;5
74759;JORGINHO MELLO;160509.0;SC;PR;50.0;3
74760;JORGINHO MELLO;160509.0;SC;PR;245.01;3
74761;JORGINHO MELLO;160509.0;SC;PR;256.3;4
74762;JORGINHO MELLO;160509.0;SC;PR;275.18;5
74763;JORGINHO MELLO;160509.0;SC;PR;278.1;6
74764;JORGINHO MELLO;160509.0;SC;PR;237.38;4
74765;JORGINHO MELLO;160509.0;SC;PR;247.0;4
74766;JORGINHO MELLO;160509.0;SC;PR;258.4;5
74767;JORGINHO MELLO;160509.0;SC;PR;250.07;2
74768;JORGINHO MELLO;160509.0;SC;PR;270.0;2
74769;JORGINHO MELLO;160509.0;SC;PR;239.73;2
74770;JORGINHO MELLO;160509.0;SC;PR;273.28;2
74771;JORGINHO MELLO;160509.0;SC;PR;290.01;6
74772;JORGINHO MELLO;160509.0;SC;PR;265.01;7
74773;JORGINHO MELLO;160509.0;SC;PR;281.52;5
74774;JORGINHO MELLO;160509.0;SC;PR;179.94;3
74775;JORGINHO MELLO;160509.0;SC;PR;90.19;5
74776;JORGINHO MELLO;160509.0;SC;PR;157.73;6
74777;JORGINHO MELLO;160509.0;SC;PR;195.04;4
74778;JORGINHO MELLO;160509.0;SC;PR;126.13;6
74779;JORGINHO MELLO;160509.0;SC;PR;181.01;6
74780;JORGINHO MELLO;160509.0;SC;PR;210.03;7
74781;JORGINHO MELLO;160509.0;SC;PR;213.02;7
74782;JORGINHO MELLO;160509.0;SC;PR;212.48;5
74783;JORGINHO MELLO;160509.0;SC;PR;177.42;5
74784;JORGINHO MELLO;160509.0;SC;PR;255.51;6
74785;JORGINHO MELLO;160509.0;SC;PR;250.0;7
74786;JORGINHO MELLO;160509.0;SC;PR;255.0;7
74787;JORGINHO MELLO;160509.0;SC;PR;250.02;3
74788;JORGINHO MELLO;160509.0;SC;PR;259.99;3
74789;JORGINHO MELLO;160509.0;SC;PR;256.01;2
74790;JORGINHO MELLO;160509.0;SC;PR;244.99;2
74791;JORGINHO MELLO;160509.0;SC;PR;267.82;4
74792;JORGINHO MELLO;160509.0;SC;PR;216.46;4
74793;JORGINHO MELLO;160509.0;SC;PR;250.3;4
74794;JORGINHO MELLO;160509.0;SC;PR;226.99;2
74795;JORGINHO MELLO;160509.0;SC;PR;234.47;5
74796;JORGINHO MELLO;160509.0;SC;PR;173.52;3
74797;JORGINHO MELLO;160509.0;SC;PR;241.05;3
74798;JORGINHO MELLO;160509.0;SC;PR;261.95;4
74799;JORGINHO MELLO;160509.0;SC;PR;257.77;3
74800;JORGINHO MELLO;160509.0;SC;PR;265.46;4
74801;JORGINHO MELLO;160509.0;SC;PR;250.0;1
74802;JORGINHO MELLO;160509.0;SC;PR;276.09;4
74803;JORGINHO MELLO;160509.0;SC;PR;271.02;6
74804;JORGINHO MELLO;160509.0;SC;PR;270.03;6
74805;JORGINHO MELLO;160509.0;SC;PR;192.91;6
74806;JORGINHO MELLO;160509.0;SC;PR;197.34;7
74807;JORGINHO MELLO;160509.0;SC;PR;250.02;3
74808;JORGINHO MELLO;160509.0;SC;PR;260.35;6
74809;JORGINHO MELLO;160509.0;SC;PR;193.38;5
74810;JORGINHO MELLO;160509.0;SC;PR;230.06;5
74811;JORGINHO MELLO;160509.0;SC;PR;221.5;2
