;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
54349;GEOVANIA DE SÁ;178966.0;SC;PSDB;90.0;5
54350;GEOVANIA DE SÁ;178966.0;SC;PSDB;65.0;7
54351;GEOVANIA DE SÁ;178966.0;SC;PSDB;47.32;3
54352;GEOVANIA DE SÁ;178966.0;SC;PSDB;52.2;2
54353;GEOVANIA DE SÁ;178966.0;SC;PSDB;143.15;5
54354;GEOVANIA DE SÁ;178966.0;SC;PSDB;122.14;4
54355;GEOVANIA DE SÁ;178966.0;SC;PSDB;110.9;1
54356;GEOVANIA DE SÁ;178966.0;SC;PSDB;76.2;6
54357;GEOVANIA DE SÁ;178966.0;SC;PSDB;490.3;1
54358;GEOVANIA DE SÁ;178966.0;SC;PSDB;301.18;6
54359;GEOVANIA DE SÁ;178966.0;SC;PSDB;276.99;5
54360;GEOVANIA DE SÁ;178966.0;SC;PSDB;237.67;4
54361;GEOVANIA DE SÁ;178966.0;SC;PSDB;269.4;1
54362;GEOVANIA DE SÁ;178966.0;SC;PSDB;338.84;2
54363;GEOVANIA DE SÁ;178966.0;SC;PSDB;314.53;3
54364;GEOVANIA DE SÁ;178966.0;SC;PSDB;249.0;5
54365;GEOVANIA DE SÁ;178966.0;SC;PSDB;249.0;2
54366;GEOVANIA DE SÁ;178966.0;SC;PSDB;249.0;4
54367;GEOVANIA DE SÁ;178966.0;SC;PSDB;1425.0;3
54368;GEOVANIA DE SÁ;178966.0;SC;PSDB;1425.0;4
54369;GEOVANIA DE SÁ;178966.0;SC;PSDB;1425.0;5
54370;GEOVANIA DE SÁ;178966.0;SC;PSDB;1425.0;6
54371;GEOVANIA DE SÁ;178966.0;SC;PSDB;1425.0;1
54372;GEOVANIA DE SÁ;178966.0;SC;PSDB;1425.0;2
54373;GEOVANIA DE SÁ;178966.0;SC;PSDB;670.0;6
54374;GEOVANIA DE SÁ;178966.0;SC;PSDB;690.0;7
54375;GEOVANIA DE SÁ;178966.0;SC;PSDB;750.0;2
54376;GEOVANIA DE SÁ;178966.0;SC;PSDB;750.0;1
54377;GEOVANIA DE SÁ;178966.0;SC;PSDB;503.17;2
54378;GEOVANIA DE SÁ;178966.0;SC;PSDB;750.0;3
54379;GEOVANIA DE SÁ;178966.0;SC;PSDB;750.0;4
54380;GEOVANIA DE SÁ;178966.0;SC;PSDB;750.0;6
54381;GEOVANIA DE SÁ;178966.0;SC;PSDB;750.0;5
54382;GEOVANIA DE SÁ;178966.0;SC;PSDB;350.0;2
54383;GEOVANIA DE SÁ;178966.0;SC;PSDB;690.0;4
54384;GEOVANIA DE SÁ;178966.0;SC;PSDB;499.0;3
54385;GEOVANIA DE SÁ;178966.0;SC;PSDB;74.0;5
54386;GEOVANIA DE SÁ;178966.0;SC;PSDB;204.1;2
54387;GEOVANIA DE SÁ;178966.0;SC;PSDB;180.0;3
54388;GEOVANIA DE SÁ;178966.0;SC;PSDB;150.0;7
54389;GEOVANIA DE SÁ;178966.0;SC;PSDB;65.0;1
54390;GEOVANIA DE SÁ;178966.0;SC;PSDB;65.0;4
54391;GEOVANIA DE SÁ;178966.0;SC;PSDB;150.0;6
54392;GEOVANIA DE SÁ;178966.0;SC;PSDB;210.34;3
54393;GEOVANIA DE SÁ;178966.0;SC;PSDB;219.74;1
54394;GEOVANIA DE SÁ;178966.0;SC;PSDB;220.02;5
54395;GEOVANIA DE SÁ;178966.0;SC;PSDB;50.01;4
54396;GEOVANIA DE SÁ;178966.0;SC;PSDB;230.04;3
54397;GEOVANIA DE SÁ;178966.0;SC;PSDB;200.0;3
54398;GEOVANIA DE SÁ;178966.0;SC;PSDB;223.0;6
54399;GEOVANIA DE SÁ;178966.0;SC;PSDB;236.11;6
54400;GEOVANIA DE SÁ;178966.0;SC;PSDB;220.02;1
54401;GEOVANIA DE SÁ;178966.0;SC;PSDB;245.0;6
54402;GEOVANIA DE SÁ;178966.0;SC;PSDB;221.4;1
54403;GEOVANIA DE SÁ;178966.0;SC;PSDB;170.04;2
54404;GEOVANIA DE SÁ;178966.0;SC;PSDB;150.07;3
54405;GEOVANIA DE SÁ;178966.0;SC;PSDB;100.0;1
54406;GEOVANIA DE SÁ;178966.0;SC;PSDB;217.96;4
54407;GEOVANIA DE SÁ;178966.0;SC;PSDB;247.7;7
54408;GEOVANIA DE SÁ;178966.0;SC;PSDB;100.0;4
54409;GEOVANIA DE SÁ;178966.0;SC;PSDB;199.7;5
54410;GEOVANIA DE SÁ;178966.0;SC;PSDB;170.02;4
54411;GEOVANIA DE SÁ;178966.0;SC;PSDB;205.26;2
54412;GEOVANIA DE SÁ;178966.0;SC;PSDB;194.05;3
54413;GEOVANIA DE SÁ;178966.0;SC;PSDB;50.0;2
54414;GEOVANIA DE SÁ;178966.0;SC;PSDB;145.08;4
54415;GEOVANIA DE SÁ;178966.0;SC;PSDB;159.02;4
54416;GEOVANIA DE SÁ;178966.0;SC;PSDB;146.01;6
54417;GEOVANIA DE SÁ;178966.0;SC;PSDB;143.14;6
54418;GEOVANIA DE SÁ;178966.0;SC;PSDB;50.0;2
54419;GEOVANIA DE SÁ;178966.0;SC;PSDB;133.5;4
54420;GEOVANIA DE SÁ;178966.0;SC;PSDB;70.0;1
54421;GEOVANIA DE SÁ;178966.0;SC;PSDB;100.0;1
54422;GEOVANIA DE SÁ;178966.0;SC;PSDB;100.0;1
54423;GEOVANIA DE SÁ;178966.0;SC;PSDB;200.01;2
54424;GEOVANIA DE SÁ;178966.0;SC;PSDB;202.5;2
54425;GEOVANIA DE SÁ;178966.0;SC;PSDB;155.04;2
54426;GEOVANIA DE SÁ;178966.0;SC;PSDB;223.13;7
54427;GEOVANIA DE SÁ;178966.0;SC;PSDB;191.31;6
54428;GEOVANIA DE SÁ;178966.0;SC;PSDB;206.55;5
54429;GEOVANIA DE SÁ;178966.0;SC;PSDB;219.24;2
54430;GEOVANIA DE SÁ;178966.0;SC;PSDB;202.5;6
54431;GEOVANIA DE SÁ;178966.0;SC;PSDB;190.72;3
54432;GEOVANIA DE SÁ;178966.0;SC;PSDB;128.09;5
54433;GEOVANIA DE SÁ;178966.0;SC;PSDB;218.06;1
54434;GEOVANIA DE SÁ;178966.0;SC;PSDB;168.84;5
54435;GEOVANIA DE SÁ;178966.0;SC;PSDB;30.05;2
54436;GEOVANIA DE SÁ;178966.0;SC;PSDB;174.05;3
54437;GEOVANIA DE SÁ;178966.0;SC;PSDB;165.72;3
54438;GEOVANIA DE SÁ;178966.0;SC;PSDB;189.99;3
54439;GEOVANIA DE SÁ;178966.0;SC;PSDB;200.18;4
54440;GEOVANIA DE SÁ;178966.0;SC;PSDB;187.76;6
54441;GEOVANIA DE SÁ;178966.0;SC;PSDB;178.02;5
54442;GEOVANIA DE SÁ;178966.0;SC;PSDB;161.68;2
54443;GEOVANIA DE SÁ;178966.0;SC;PSDB;190.1;4
54444;GEOVANIA DE SÁ;178966.0;SC;PSDB;134.9;4
54445;GEOVANIA DE SÁ;178966.0;SC;PSDB;160.01;4
54446;GEOVANIA DE SÁ;178966.0;SC;PSDB;213.13;3
54447;GEOVANIA DE SÁ;178966.0;SC;PSDB;171.37;1
54448;GEOVANIA DE SÁ;178966.0;SC;PSDB;215.01;3
54449;GEOVANIA DE SÁ;178966.0;SC;PSDB;219.03;1
54450;GEOVANIA DE SÁ;178966.0;SC;PSDB;210.01;2
54451;GEOVANIA DE SÁ;178966.0;SC;PSDB;165.07;6
54452;GEOVANIA DE SÁ;178966.0;SC;PSDB;207.15;6
54453;GEOVANIA DE SÁ;178966.0;SC;PSDB;206.02;7
54454;GEOVANIA DE SÁ;178966.0;SC;PSDB;180.01;2
54455;GEOVANIA DE SÁ;178966.0;SC;PSDB;70.0;2
54456;GEOVANIA DE SÁ;178966.0;SC;PSDB;100.06;2
54457;GEOVANIA DE SÁ;178966.0;SC;PSDB;162.79;2
54458;GEOVANIA DE SÁ;178966.0;SC;PSDB;123.56;2
54459;GEOVANIA DE SÁ;178966.0;SC;PSDB;147.23;4
