;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
29030;CESAR SOUZA;73720.0;SC;PSD;72.72;1
29031;CESAR SOUZA;73720.0;SC;PSD;95.39;3
29032;CESAR SOUZA;73720.0;SC;PSD;52.74;4
29033;CESAR SOUZA;73720.0;SC;PSD;47.97;5
29034;CESAR SOUZA;73720.0;SC;PSD;100.04;2
29035;CESAR SOUZA;73720.0;SC;PSD;594.24;2
29036;CESAR SOUZA;73720.0;SC;PSD;594.24;3
29037;CESAR SOUZA;73720.0;SC;PSD;594.24;4
29038;CESAR SOUZA;73720.0;SC;PSD;594.24;1
29039;CESAR SOUZA;73720.0;SC;PSD;594.24;6
29040;CESAR SOUZA;73720.0;SC;PSD;594.24;5
29041;CESAR SOUZA;73720.0;SC;PSD;268.71;1
29042;CESAR SOUZA;73720.0;SC;PSD;650.0;2
29043;CESAR SOUZA;73720.0;SC;PSD;829.04;4
29044;CESAR SOUZA;73720.0;SC;PSD;874.45;7
29045;CESAR SOUZA;73720.0;SC;PSD;874.45;6
29046;CESAR SOUZA;73720.0;SC;PSD;829.04;4
29047;CESAR SOUZA;73720.0;SC;PSD;650.0;1
29048;CESAR SOUZA;73720.0;SC;PSD;65.7;2
29049;CESAR SOUZA;73720.0;SC;PSD;148.1;3
29050;CESAR SOUZA;73720.0;SC;PSD;109.1;5
29051;CESAR SOUZA;73720.0;SC;PSD;114.0;5
29052;CESAR SOUZA;73720.0;SC;PSD;216.03;4
29053;CESAR SOUZA;73720.0;SC;PSD;189.0;4
29054;CESAR SOUZA;73720.0;SC;PSD;197.02;3
29055;CESAR SOUZA;73720.0;SC;PSD;219.29;6
29056;CESAR SOUZA;73720.0;SC;PSD;219.65;6
29057;CESAR SOUZA;73720.0;SC;PSD;150.0;7
29058;CESAR SOUZA;73720.0;SC;PSD;190.02;6
29059;CESAR SOUZA;73720.0;SC;PSD;100.03;2
29060;CESAR SOUZA;73720.0;SC;PSD;227.03;4
29061;CESAR SOUZA;73720.0;SC;PSD;232.05;6
29062;CESAR SOUZA;73720.0;SC;PSD;100.0;3
29063;CESAR SOUZA;73720.0;SC;PSD;191.0;4
29064;CESAR SOUZA;73720.0;SC;PSD;193.01;6
29065;CESAR SOUZA;73720.0;SC;PSD;200.0;3
29066;CESAR SOUZA;73720.0;SC;PSD;826.36;1
29067;CESAR SOUZA;73720.0;SC;PSD;1000.9;2
29068;CESAR SOUZA;73720.0;SC;PSD;1255.71;4
29069;CESAR SOUZA;73720.0;SC;PSD;1736.63;5
29070;CESAR SOUZA;73720.0;SC;PSD;1573.03;5
29071;CESAR SOUZA;73720.0;SC;PSD;1231.66;7
29072;CESAR SOUZA;73720.0;SC;PSD;100.0;6
29073;CESAR SOUZA;73720.0;SC;PSD;196.03;5
29074;CESAR SOUZA;73720.0;SC;PSD;50.0;3
29075;CESAR SOUZA;73720.0;SC;PSD;200.47;3
29076;CESAR SOUZA;73720.0;SC;PSD;200.01;5
29077;CESAR SOUZA;73720.0;SC;PSD;214.22;1
29078;CESAR SOUZA;73720.0;SC;PSD;216.16;2
29079;CESAR SOUZA;73720.0;SC;PSD;191.98;4
29080;CESAR SOUZA;73720.0;SC;PSD;150.0;5
29081;CESAR SOUZA;73720.0;SC;PSD;235.49;5
29082;CESAR SOUZA;73720.0;SC;PSD;100.0;5
29083;CESAR SOUZA;73720.0;SC;PSD;208.01;3
29084;CESAR SOUZA;73720.0;SC;PSD;216.06;6
29085;CESAR SOUZA;73720.0;SC;PSD;94.01;1
29086;CESAR SOUZA;73720.0;SC;PSD;150.0;7
29087;CESAR SOUZA;73720.0;SC;PSD;100.0;7
29088;CESAR SOUZA;73720.0;SC;PSD;4000.0;3
29089;CESAR SOUZA;73720.0;SC;PSD;4000.0;5
29090;CESAR SOUZA;73720.0;SC;PSD;4000.0;1
29091;CESAR SOUZA;73720.0;SC;PSD;4000.0;2
29092;CESAR SOUZA;73720.0;SC;PSD;4000.0;4
29093;CESAR SOUZA;73720.0;SC;PSD;6000.0;3
29094;CESAR SOUZA;73720.0;SC;PSD;6000.0;4
