;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
35392;DÉCIO LIMA;141413.0;SC;PT;1726.75;2
35393;DÉCIO LIMA;141413.0;SC;PT;1726.75;3
35394;DÉCIO LIMA;141413.0;SC;PT;1726.75;5
35395;DÉCIO LIMA;141413.0;SC;PT;1726.75;6
35396;DÉCIO LIMA;141413.0;SC;PT;1726.75;4
35397;DÉCIO LIMA;141413.0;SC;PT;1726.75;1
35398;DÉCIO LIMA;141413.0;SC;PT;196.92;1
35399;DÉCIO LIMA;141413.0;SC;PT;259.07;4
35400;DÉCIO LIMA;141413.0;SC;PT;113.88;6
35401;DÉCIO LIMA;141413.0;SC;PT;244.93;3
35402;DÉCIO LIMA;141413.0;SC;PT;157.77;5
35403;DÉCIO LIMA;141413.0;SC;PT;96.98;7
35404;DÉCIO LIMA;141413.0;SC;PT;151.66;2
35405;DÉCIO LIMA;141413.0;SC;PT;179.15;3
35406;DÉCIO LIMA;141413.0;SC;PT;148.96;6
35407;DÉCIO LIMA;141413.0;SC;PT;116.71;5
35408;DÉCIO LIMA;141413.0;SC;PT;179.15;1
35409;DÉCIO LIMA;141413.0;SC;PT;179.15;2
35410;DÉCIO LIMA;141413.0;SC;PT;179.15;4
35411;DÉCIO LIMA;141413.0;SC;PT;87.25;2
35412;DÉCIO LIMA;141413.0;SC;PT;114.0;1
35413;DÉCIO LIMA;141413.0;SC;PT;75.0;4
35414;DÉCIO LIMA;141413.0;SC;PT;50.0;5
35415;DÉCIO LIMA;141413.0;SC;PT;150.0;1
35416;DÉCIO LIMA;141413.0;SC;PT;150.0;2
35417;DÉCIO LIMA;141413.0;SC;PT;150.0;3
35418;DÉCIO LIMA;141413.0;SC;PT;150.0;4
35419;DÉCIO LIMA;141413.0;SC;PT;142.0;3
35420;DÉCIO LIMA;141413.0;SC;PT;149.36;4
35421;DÉCIO LIMA;141413.0;SC;PT;50.0;4
35422;DÉCIO LIMA;141413.0;SC;PT;162.61;4
35423;DÉCIO LIMA;141413.0;SC;PT;168.3;3
35424;DÉCIO LIMA;141413.0;SC;PT;89.36;4
35425;DÉCIO LIMA;141413.0;SC;PT;50.0;4
35426;DÉCIO LIMA;141413.0;SC;PT;100.0;7
35427;DÉCIO LIMA;141413.0;SC;PT;107.3;7
35428;DÉCIO LIMA;141413.0;SC;PT;103.64;2
35429;DÉCIO LIMA;141413.0;SC;PT;205.0;7
35430;DÉCIO LIMA;141413.0;SC;PT;176.02;1
35431;DÉCIO LIMA;141413.0;SC;PT;50.0;7
35432;DÉCIO LIMA;141413.0;SC;PT;130.42;6
35433;DÉCIO LIMA;141413.0;SC;PT;100.0;1
35434;DÉCIO LIMA;141413.0;SC;PT;160.0;1
35435;DÉCIO LIMA;141413.0;SC;PT;164.0;3
35436;DÉCIO LIMA;141413.0;SC;PT;50.0;3
35437;DÉCIO LIMA;141413.0;SC;PT;200.01;2
35438;DÉCIO LIMA;141413.0;SC;PT;153.01;6
35439;DÉCIO LIMA;141413.0;SC;PT;100.0;1
