;txNomeParlamentar;idecadastro;sgUF;sgPartido;vlrDocumento;numMes
114076;OSVALDO MAFRA;202063.0;SC;SD;363.5;6
114077;OSVALDO MAFRA;202063.0;SC;SD;110.97;5
114078;OSVALDO MAFRA;202063.0;SC;SD;234.89;6
114079;OSVALDO MAFRA;202063.0;SC;SD;177.78;6
114080;OSVALDO MAFRA;202063.0;SC;SD;198.06;5
114081;OSVALDO MAFRA;202063.0;SC;SD;205.02;7
114082;OSVALDO MAFRA;202063.0;SC;SD;200.0;5
114083;OSVALDO MAFRA;202063.0;SC;SD;198.65;5
114084;OSVALDO MAFRA;202063.0;SC;SD;191.0;5
114085;OSVALDO MAFRA;202063.0;SC;SD;246.59;6
114086;OSVALDO MAFRA;202063.0;SC;SD;230.02;7
114087;OSVALDO MAFRA;202063.0;SC;SD;203.96;5
114088;OSVALDO MAFRA;202063.0;SC;SD;100.0;6
114089;OSVALDO MAFRA;202063.0;SC;SD;152.35;6
114090;OSVALDO MAFRA;202063.0;SC;SD;100.0;5
114091;OSVALDO MAFRA;202063.0;SC;SD;235.44;5
114092;OSVALDO MAFRA;202063.0;SC;SD;6000.0;5
114093;OSVALDO MAFRA;202063.0;SC;SD;9000.0;5
114094;OSVALDO MAFRA;202063.0;SC;SD;741.37;7
114095;OSVALDO MAFRA;202063.0;SC;SD;51.79;6
114096;OSVALDO MAFRA;202063.0;SC;SD;58.91;5
114097;OSVALDO MAFRA;202063.0;SC;SD;130.2;6
114098;OSVALDO MAFRA;202063.0;SC;SD;76.93;7
114099;OSVALDO MAFRA;202063.0;SC;SD;66.7;5
114100;OSVALDO MAFRA;202063.0;SC;SD;103.4;5
114101;OSVALDO MAFRA;202063.0;SC;SD;27.9;6
114102;OSVALDO MAFRA;202063.0;SC;SD;28.0;6
114103;OSVALDO MAFRA;202063.0;SC;SD;28.0;7
114104;OSVALDO MAFRA;202063.0;SC;SD;22.0;5
114105;OSVALDO MAFRA;202063.0;SC;SD;35.9;6
114106;OSVALDO MAFRA;202063.0;SC;SD;27.29;5
114107;OSVALDO MAFRA;202063.0;SC;SD;24.0;7
114108;OSVALDO MAFRA;202063.0;SC;SD;645.0;6
114109;OSVALDO MAFRA;202063.0;SC;SD;112.0;5
114110;OSVALDO MAFRA;202063.0;SC;SD;55.0;5
114111;OSVALDO MAFRA;202063.0;SC;SD;22.0;5
114112;OSVALDO MAFRA;202063.0;SC;SD;25.0;5
114113;OSVALDO MAFRA;202063.0;SC;SD;55.0;5
114114;OSVALDO MAFRA;202063.0;SC;SD;22.0;5
114115;OSVALDO MAFRA;202063.0;SC;SD;22.0;5
114116;OSVALDO MAFRA;202063.0;SC;SD;50.0;5
114117;OSVALDO MAFRA;202063.0;SC;SD;25.0;5
114118;OSVALDO MAFRA;202063.0;SC;SD;51.0;5
114119;OSVALDO MAFRA;202063.0;SC;SD;62.41;5
114120;OSVALDO MAFRA;202063.0;SC;SD;20.0;5
114121;OSVALDO MAFRA;202063.0;SC;SD;15.0;5
114122;OSVALDO MAFRA;202063.0;SC;SD;60.0;5
114123;OSVALDO MAFRA;202063.0;SC;SD;858.78;5
114124;OSVALDO MAFRA;202063.0;SC;SD;724.78;5
114125;OSVALDO MAFRA;202063.0;SC;SD;-1222.03;5
114126;OSVALDO MAFRA;202063.0;SC;SD;1284.78;5
114127;OSVALDO MAFRA;202063.0;SC;SD;457.49;6
114128;OSVALDO MAFRA;202063.0;SC;SD;528.78;6
114129;OSVALDO MAFRA;202063.0;SC;SD;457.49;6
114130;OSVALDO MAFRA;202063.0;SC;SD;528.78;6
114131;OSVALDO MAFRA;202063.0;SC;SD;857.03;6
114132;OSVALDO MAFRA;202063.0;SC;SD;39.0;5
114133;OSVALDO MAFRA;202063.0;SC;SD;39.0;6
114134;OSVALDO MAFRA;202063.0;SC;SD;39.0;6
114135;OSVALDO MAFRA;202063.0;SC;SD;39.0;6
114136;OSVALDO MAFRA;202063.0;SC;SD;39.0;6
114137;OSVALDO MAFRA;202063.0;SC;SD;39.0;6
114138;OSVALDO MAFRA;202063.0;SC;SD;270.0;5
114139;OSVALDO MAFRA;202063.0;SC;SD;300.0;5
114140;OSVALDO MAFRA;202063.0;SC;SD;275.0;6
114141;OSVALDO MAFRA;202063.0;SC;SD;275.0;6
114142;OSVALDO MAFRA;202063.0;SC;SD;522.47;6
114143;OSVALDO MAFRA;202063.0;SC;SD;1380.47;6
114144;OSVALDO MAFRA;202063.0;SC;SD;1380.47;6
114145;OSVALDO MAFRA;202063.0;SC;SD;815.47;5
114146;OSVALDO MAFRA;202063.0;SC;SD;1838.47;5
114147;OSVALDO MAFRA;202063.0;SC;SD;665.93;6
114148;OSVALDO MAFRA;202063.0;SC;SD;-634.03;6
114149;OSVALDO MAFRA;202063.0;SC;SD;735.22;6
114150;OSVALDO MAFRA;202063.0;SC;SD;-638.78;6
114151;OSVALDO MAFRA;202063.0;SC;SD;1318.87;6
114152;OSVALDO MAFRA;202063.0;SC;SD;1215.76;5
114153;OSVALDO MAFRA;202063.0;SC;SD;-1053.32;6
114154;OSVALDO MAFRA;202063.0;SC;SD;1010.93;5
114155;OSVALDO MAFRA;202063.0;SC;SD;1317.12;5
114156;OSVALDO MAFRA;202063.0;SC;SD;-1141.33;5
114157;OSVALDO MAFRA;202063.0;SC;SD;1430.42;5
114158;OSVALDO MAFRA;202063.0;SC;SD;-1239.18;5
114159;OSVALDO MAFRA;202063.0;SC;SD;674.93;5
114160;OSVALDO MAFRA;202063.0;SC;SD;1032.93;5
114161;OSVALDO MAFRA;202063.0;SC;SD;676.68;5
