;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
334012;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CONDE & DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP;9613772000173.0;7770;0;2018-01-08 00:00:00;300;0;300;12;2017;0;;;1459922;6113.0;0.0;3176;6488973
334013;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CONDOMINIO COMERCIAL TOP TOWER CENTER;15731377000198.0;0801/220;1;2017-12-06 00:00:00;408,59;44,66;363,93;12;2017;0;;;1452518;6080.0;0.0;3176;6469035
334014;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3467321000199.0;000475781;0;2017-11-13 00:00:00;354,82;0;354,82;11;2017;0;;;1452422;6080.0;0.0;3176;6468649
334015;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3467321000199.0;000477113;0;2017-12-14 00:00:00;316,54;6,55;309,99;12;2017;0;;;1456334;6093.0;0.0;3176;6478626
334016;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;HC Comércio Papelaria Ltda - ME;22815061000140.0;2134;0;2017-11-08 00:00:00;83;0;83;11;2017;0;;;1444001;6026.0;0.0;3176;6442185
334017;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MANOEL CASSIO DE SOUZA GUEDES - ME;7266260000152.0;8544;0;2017-11-30 00:00:00;197;0;197;11;2017;0;;;1449536;6049.0;0.0;3176;6460023
334018;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ZELL PARTICIPACOES E SERVICOS LTDA - ME;4730458000157.0;s/n;1;2017-12-07 00:00:00;2175;0;2175;11;2017;0;;;1452404;6079.0;0.0;3176;6468617
334019;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ZELL PARTICIPACOES E SERVICOS LTDA - ME;4730458000157.0;s/n;1;2018-01-02 00:00:00;2175;0;2175;12;2017;0;;;1456338;6093.0;0.0;3176;6478724
334020;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ADE CEILANDIA SUL LTDA;24099794000150.0;149501;4;2017-11-21 00:00:00;40;0;40;11;2017;0;;;1452820;6079.0;0.0;3176;6469843
334021;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AEROPORTO LTDA;8202116000115.0;22876;4;2017-12-06 00:00:00;195,76;0;195,76;12;2017;0;;;1454288;6079.0;0.0;3176;6473031
334022;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO CANELA LTDA;8603562000131.0;31469;0;2017-11-20 00:00:00;100;0;100;11;2017;0;;;1446215;6079.0;0.0;3176;6451160
334023;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO CANELA LTDA;8603562000131.0;45171;0;2017-12-16 00:00:00;112,05;0;112,05;12;2017;0;;;1454289;6079.0;0.0;3176;6473018
334024;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO DRACENA LTDA;816009000256.0;129552;0;2017-11-30 00:00:00;142,49;0;142,49;11;2017;0;;;1453825;6079.0;0.0;3176;6472203
334025;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO DRACENA LTDA;816009000256.0;129553;0;2017-11-30 00:00:00;280,5;0;280,5;11;2017;0;;;1453825;6079.0;0.0;3176;6472129
334026;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO INTERNACIONAL LTDA;36894574000106.0;313216;0;2017-12-07 00:00:00;150;0;150;12;2017;0;;;1454157;6079.0;0.0;3176;6472776
334027;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO PRACA DAS FONTES LTDA;8609198000117.0;194011;0;2017-11-25 00:00:00;128,72;0;128,72;11;2017;0;;;1446215;6079.0;0.0;3176;6451152
334028;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO SAO CHARBEL LTDA;73468951000163.0;504069;0;2017-12-10 00:00:00;226,26;0;226,26;12;2017;0;;;1454157;6079.0;0.0;3176;6472778
334029;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA;2823845000102.0;1521;0;2017-12-18 00:00:00;100;0;100;12;2017;0;;;1454289;6079.0;0.0;3176;6473056
334030;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA;2823845000102.0;211221;0;2017-11-22 00:00:00;200;0;200;11;2017;0;;;1453566;6079.0;0.0;3176;6471717
334031;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA;2823845000102.0;212163;1;2017-11-28 00:00:00;200;0;200;11;2017;0;;;1453825;6079.0;0.0;3176;6472157
334032;XUXU DAL MOLIN;199809.0;607.0;2015;MT;PSC;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA;2823845000102.0;357;0;2017-12-06 00:00:00;245,64;0;245,64;12;2017;0;;;1454157;6079.0;0.0;3176;6472771
