;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
94667;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;247 COMERCIO LTDA;191498001431.0;27892;4;2018-04-14 00:00:00;270,01;0;270,01;4;2018;0;;;1489242;6260.0;0.0;3019;6565805
94668;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO 109 NORTE LTDA;5849569000140.0;60141;4;2018-04-04 00:00:00;200;0;200;4;2018;0;;;1482375;6234.0;0.0;3019;6547704
94669;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA;5299796000149.0;18543;4;2018-02-04 00:00:00;169,16;0;169,16;2;2018;0;;;1465493;6150.0;0.0;3019;6501327
94670;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA;5299796000149.0;25617;4;2018-02-22 00:00:00;160;0;160;2;2018;0;;;1468720;6166.0;0.0;3019;6512758
94671;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA;5299796000149.0;30569;4;2018-03-06 00:00:00;250;0;250;3;2018;0;;;1472723;6192.0;0.0;3019;6522483
94672;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA;5299796000149.0;33898;4;2018-03-14 00:00:00;250;0;250;3;2018;0;;;1477520;6210.0;0.0;3019;6535257
94673;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA;5299796000149.0;51450;4;2018-04-24 00:00:00;150;0;150;4;2018;0;;;1487618;6253.0;0.0;3019;6561411
94674;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA;5299796000149.0;52442;4;2018-04-26 00:00:00;220,1;0;220,1;4;2018;0;;;1504628;6307.0;0.0;3019;6603905
94675;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA;5299796000149.0;70644;4;2018-06-11 00:00:00;100;0;100;6;2018;0;;;1505720;6311.0;0.0;3019;6606542
94676;MACEDO;178867.0;104.0;2015;CE;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO SUDOESTE LTDA;22476127000114.0;181;4;2018-06-21 00:00:00;260,03;0;260,03;6;2018;0;;;1510821;6326.0;0.0;3019;6621186
