;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
236191;NELSON MARCHEZAN JUNIOR;160567.0;509.0;2015;RS;PSDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LOCAWEB IDC LTDA.;6887099000171.0;01661764;0;2016-12-06 00:00:00;109,89;0;109,89;1;2017;0;;;1349646;5684.0;0.0;2409;6182160
236192;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;104220;0;2017-11-20 00:00:00;166,9;0;166,9;11;2017;0;;;1446449;6026.0;0.0;773;6452008
236193;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;10499;0;2017-03-27 00:00:00;133,5;0;133,5;3;2017;0;;;1370408;5782.0;0.0;773;6243732
236194;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;114325;4;2017-12-18 00:00:00;265,33;0;265,33;12;2017;0;;;1454461;6080.0;0.0;773;6473371
236195;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;37111;0;2017-04-28 00:00:00;171,7;0;171,7;4;2017;0;;;1397615;5885.0;0.0;773;6318079
236196;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;47004;0;2017-05-29 00:00:00;197;0;197;5;2017;0;;;1391356;5861.0;0.0;773;6299939
236197;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;57755;0;2017-06-29 00:00:00;283,5;0;283,5;6;2017;0;;;1401579;5890.0;0.0;773;6329011
236198;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;73962;0;2017-08-15 00:00:00;189,1;0;189,1;8;2017;0;;;1413482;5934.0;0.0;773;6362367
236199;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;87401;0;2017-09-25 00:00:00;232,5;0;232,5;9;2017;0;;;1424953;5976.0;0.0;773;6395819
236200;NELSON MARQUEZELLI;73553.0;381.0;2015;SP;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;43283811005976.0;97355;0;2017-10-27 00:00:00;158,4;0;158,4;10;2017;0;;;1446447;6026.0;0.0;773;6452007
