;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
293888;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;EMYSOUTO PAPELARIA E INFORMÁTICA;13345728000105.0;4456;0;2017-01-27 00:00:00;119;0;119;1;2017;0;;;1353236;5761.0;0.0;1933;6192345
293889;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;5;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;0;;grafica manaus;4030231000107.0;1184;0;2017-03-20 00:00:00;25200;0;25200;3;2017;0;;;1368416;5776.0;0.0;1933;6239301
293890;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;5;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;0;;LORIS COMERCIO DE ARTIGOS DE PAPELARIA E SERV GRAFICOS;21931422000150.0;70;0;2017-05-11 00:00:00;3910;0;3910;5;2017;0;;;1386270;5853.0;0.0;1933;6284359
293891;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;5;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;0;;MIDIAPRESS COMUNICAÇÃO DIGITAL LTDA;20689707000164.0;78;0;2017-03-20 00:00:00;2000;0;2000;3;2017;0;;;1367700;5774.0;0.0;1933;6237137
293892;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;5;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;0;;RICYAN COMUNICAÇÃO VISUAL LTDA-ME;24995613000174.0;104;0;2017-04-18 00:00:00;15000;0;15000;4;2017;0;;;1376272;5825.0;0.0;1933;6261715
293893;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;9;PASSAGENS AÉREAS;0;;LATAM AIRLINES - TAM;2012862000160.0;9572139842239;0;2017-01-02 00:00:00;1743,58;0;1743,58;1;2017;0;;MANAUS - BRASILIA;1361667;5761.0;0.0;1933;6219877
293894;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;10;TELEFONIA;0;;CELULAR FUNCIONAL;;;0;;780,95;0;780,95;5;2017;0;;;0;0.0;0.0;1933;0
293895;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;10;TELEFONIA;0;;CELULAR FUNCIONAL;;;0;;667,43;0;667,43;4;2017;0;;;0;0.0;0.0;1933;0
293896;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;10;TELEFONIA;0;;CELULAR FUNCIONAL;;;0;;628,98;0;628,98;6;2017;0;;;0;0.0;0.0;1933;0
293897;SABINO CASTELO BRANCO;141522.0;589.0;2015;AM;PTB;55.0;10;TELEFONIA;0;;CELULAR FUNCIONAL;;;0;;494,51;0;494,51;7;2017;0;;;0;0.0;0.0;1933;0
