;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
180044;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;EMYSOUTO PAPELARIA E INFORMÁTICA;13345728000105.0;4682;0;2017-04-05 00:00:00;112,5;0;112,5;4;2017;0;;;1374077;5813.0;0.0;3076;6255015
180045;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Torque Empresarial;2919415000199.0;0000;1;2017-02-25 00:00:00;3000;0;3000;1;2017;0;;;1367610;5776.0;0.0;3076;6236764
180046;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Torque Empresarial;2919415000199.0;03/2017;1;2017-04-25 00:00:00;3000;0;3000;3;2017;0;;;1380495;5833.0;0.0;3076;6272144
180047;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Torque Empresarial;2919415000199.0;05/2017;1;2017-06-25 00:00:00;3000;0;3000;5;2017;0;;;1402239;5894.0;0.0;3076;6330681
180048;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Torque Empresarial;2919415000199.0;s.n;1;2017-03-25 00:00:00;3000;0;3000;2;2017;0;;;1380502;5833.0;0.0;3076;6272154
180049;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Torque Empresarial;2919415000199.0;S/N;1;2017-05-25 00:00:00;3000;0;3000;4;2017;0;;;1399693;5885.0;0.0;3076;6323529
180050;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Torque Empresarial;2919415000199.0;S/N;1;2017-07-25 00:00:00;3000;0;3000;6;2017;0;;;1418940;5962.0;0.0;3076;6379233
180051;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;WM PAPELARIA E ESCRITÓRIO;12132854000100.0;3480;0;2017-03-22 00:00:00;330;0;330;3;2017;0;;;1368048;5782.0;0.0;3076;6238313
180052;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;WM PAPELARIA E ESCRITÓRIO;12132854000100.0;3546;0;2017-04-11 00:00:00;200;0;200;4;2017;0;;;1377304;5832.0;0.0;3076;6265146
180053;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AC MORAIS COMBUSTIVEIS LTDA;22493813000101.0;101158;0;2017-06-20 00:00:00;100;0;100;6;2017;0;;;1404382;5900.0;0.0;3076;6336370
180054;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AC NORTE LTDA;5148880000161.0;186043;0;2017-06-16 00:00:00;100;0;100;6;2017;0;;;1399686;5885.0;0.0;3076;6323800
180055;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO CARRETEIRO LTDA;462284000138.0;259634;0;2017-06-26 00:00:00;100;0;100;6;2017;0;;;1404382;5900.0;0.0;3076;6336363
180056;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO CARRETEIRO LTDA;462284000138.0;519851;0;2017-03-30 00:00:00;150;0;150;3;2017;0;;;1380501;5833.0;0.0;3076;6272238
180057;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO IGARASSU LTDA;4274378000134.0;063246;0;2017-06-11 00:00:00;100;0;100;6;2017;0;;;1399686;5885.0;0.0;3076;6323813
180058;KAIO MANIÇOBA;178918.0;151.0;2015;PE;SD;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BELOPETRO LTDA;217046000167.0;220683;0;2017-05-22 00:00:00;236,02;0;236,02;5;2017;0;;;1403645;5900.0;0.0;3076;6334483
